Stockname,Market Cap in Cores Rupees,Current Price in Rupees,High in Rupees,Low in Rupees,Stock PE,Book Value in Rupees,Dividend Yield %,ROCE %,ROE %,Face Value in Rupees
526433,1659,1409.0,1678,417.0,,92.0,0.07,-0.91,-5.3,10.0
532407,4631,245.0,327,77.0,434.0,14.3,0.0,6.62,5.17,2.0
544021,7775,1921.0,1988,775.0,88.0,229.0,0.52,14.3,10.9,10.0
AARTIDRUGS,4567,497.0,625,430.0,29.1,139.0,0.2,14.8,13.9,10.0
AARTIIND,21869,603.0,770,438.0,45.2,146.0,0.17,7.47,8.22,5.0
AARTIPHARM,5308,586.0,670,358.0,23.6,194.0,0.51,16.6,13.1,5.0
AARTISURF,535,633.0,854,543.0,29.3,258.0,0.0,14.6,11.0,10.0
ABB,167645,7911.0,9200,3848.0,104.0,299.0,0.3,30.7,22.9,2.0
ACC,43903,2338.0,2844,1803.0,21.8,870.0,0.32,17.3,14.2,10.0
ADANIENT,354404,3109.0,3744,2142.0,85.3,343.0,0.04,9.87,9.73,1.0
AFFLE,21801,1554.0,1634,988.0,68.6,178.0,0.0,16.2,15.0,2.0
ALKYLAMINE,10269,2008.0,2735,1805.0,69.4,248.0,0.5,16.5,12.3,2.0
ANGELONE,19460,2160.0,3900,1651.0,16.2,362.0,1.6,38.7,43.3,10.0
ARE&M,28570,1561.0,1776,599.0,29.4,371.0,0.63,19.2,14.4,1.0
ASAHIINDIA,15521,638.0,722,492.0,51.9,96.8,0.31,15.0,14.7,1.0
ASHOKLEY,75158,256.0,259,158.0,30.1,30.7,1.93,15.0,28.4,1.0
ASIANPAINT,292378,3048.0,3423,2670.0,57.6,195.0,1.09,37.5,31.4,1.0
ASTRAL,50757,1890.0,2454,1739.0,93.1,119.0,0.2,23.2,18.0,1.0
AXISBANK,360743,1167.0,1340,921.0,13.5,509.0,0.09,7.06,18.4,2.0
BAJAJ-AUTO,276057,9888.0,10039,4569.0,34.5,1037.0,0.81,33.5,26.5,10.0
BAJAJELEC,11357,986.0,1168,820.0,89.8,125.0,0.3,12.7,7.7,2.0
BAJAJFINSV,247467,1550.0,1742,1419.0,29.7,378.0,0.06,11.7,15.3,1.0
BAJFINANCE,407974,6591.0,8192,6188.0,27.3,1234.0,0.55,11.9,22.1,2.0
BALAMINES,7044,2174.0,2736,1960.0,36.0,531.0,0.51,16.8,12.5,2.0
BATAINDIA,18266,1421.0,1749,1269.0,51.5,119.0,0.84,18.7,19.8,5.0
BEL,221706,303.0,340,127.0,52.3,22.3,0.73,34.6,26.3,1.0
BERGEPAINT,64107,550.0,680,439.0,54.9,46.1,0.64,27.5,23.5,1.0
BHARTIARTL,887238,1484.0,1539,847.0,74.3,145.0,0.54,13.1,14.9,5.0
BOROLTD,4904,411.0,435,284.0,69.8,50.6,0.0,11.2,9.13,1.0
BRITANNIA,138009,5730.0,6008,4348.0,62.6,164.0,1.28,48.9,57.1,1.0
BSE,35820,2646.0,3265,864.0,60.1,244.0,0.57,20.0,15.2,2.0
CAMS,21030,4273.0,4911,2230.0,55.0,186.0,1.09,48.4,39.8,10.0
CAMPUS,8504,279.0,324,213.0,78.4,,0.0,31.8,29.3,5.0
CDSL,29136,2788.0,2812,1107.0,60.7,140.0,0.34,40.2,31.3,10.0
CENTUM,2013,1561.0,2099,1271.0,,158.0,0.38,10.1,-3.65,10.0
CGPOWER,109350,715.0,784,359.0,122.0,19.8,0.18,46.6,57.8,2.0
COCHINSHIP,57837,2198.0,2979,409.0,67.3,190.0,0.34,21.0,16.6,5.0
COFORGE,40530,6077.0,6847,4287.0,52.8,587.0,1.25,28.6,24.1,10.0
CONCOR,59647,979.0,1194,652.0,46.8,194.0,0.92,13.7,10.9,5.0
CYIENT,19803,1785.0,2459,1533.0,28.4,384.0,1.68,21.9,18.8,5.0
DABUR,109458,618.0,662,489.0,59.2,55.7,0.89,22.3,19.2,1.0
DEEPAKNTR,39565,2901.0,3169,1922.0,49.1,352.0,0.26,21.6,16.4,2.0
DIVISLAB,123015,4634.0,5025,3295.0,73.5,511.0,0.65,16.5,12.2,2.0
DIXON,74045,12375.0,12879,4730.0,171.0,283.0,0.02,28.8,24.7,2.0
DMART,326753,5021.0,5220,3522.0,123.0,287.0,0.0,19.4,14.5,10.0
DRREDDY,113337,6794.0,7036,5206.0,20.4,1694.0,0.59,26.5,21.4,5.0
EICHERMOT,132018,4818.0,5059,3272.0,31.6,659.0,1.06,31.1,24.2,1.0
ETHOSLTD,8273,3379.0,3428,1542.0,94.1,361.0,0.0,14.3,11.0,10.0
EXIDEIND,42134,496.0,620,242.0,48.2,152.0,0.4,10.2,7.05,1.0
FINEORG,16157,5270.0,5959,4005.0,37.9,627.0,0.19,31.3,23.8,5.0
GMMPFAUDLR,5782,1286.0,1898,1143.0,38.3,215.0,0.16,19.1,19.6,2.0
GODREJPROP,81756,2940.0,3403,1526.0,73.0,359.0,0.0,5.74,6.79,5.0
GREENLAM,7394,580.0,662,388.0,59.2,84.4,0.28,12.1,13.5,1.0
GREENPANEL,4329,353.0,450,268.0,30.3,107.0,0.42,12.9,11.4,1.0
GRSE,22528,1967.0,2835,648.0,61.3,146.0,0.4,28.4,23.1,10.0
HAL,318992,4770.0,5675,1768.0,38.7,436.0,0.73,38.9,28.9,5.0
HAPPSTMNDS,11666,766.0,970,738.0,50.5,97.2,0.75,21.6,20.6,2.0
HAVELLS,117638,1876.0,1987,1233.0,84.6,119.0,0.48,24.4,18.0,1.0
HCLTECH,452707,1668.0,1697,1139.0,27.6,252.0,3.12,29.6,23.3,2.0
HDFCAMC,90051,4216.0,4296,2416.0,43.5,331.0,1.66,37.7,29.5,5.0
HDFCBANK,1243251,1632.0,1794,1363.0,18.2,601.0,1.19,7.67,17.1,1.0
HDFCLIFE,148289,689.0,722,511.0,90.6,71.4,0.29,6.61,11.4,10.0
HERITGFOOD,5072,547.0,728,209.0,34.2,86.8,0.46,16.2,13.3,5.0
HEROMOTOCO,102527,5128.0,5895,2889.0,25.2,885.0,2.24,29.1,22.0,2.0
HINDUNILVR,645726,2748.0,2812,2170.0,62.5,218.0,1.53,27.2,20.2,1.0
HLEGLAS,2784,408.0,606,397.0,98.2,61.1,0.27,12.9,8.64,2.0
HNDFDS,6587,575.0,630,461.0,68.0,56.4,0.0,15.4,18.2,2.0
ICICIBANK,835623,1187.0,1258,899.0,18.4,365.0,0.84,7.6,18.8,2.0
ICICIGI,100500,2037.0,2047,1266.0,47.7,257.0,0.29,22.5,17.0,10.0
ICICIPRULI,103827,720.0,747,463.0,120.0,78.3,0.08,8.75,8.07,10.0
IDEAFORGE,2942,686.0,1052,618.0,108.0,154.0,0.0,11.5,8.84,10.0
IDFCFIRSTB,53818,72.0,101,70.4,18.9,45.6,0.0,6.93,10.1,10.0
INDIGO,165191,4278.0,4610,2333.0,21.2,51.7,0.0,24.5,,10.0
INDIGOPNTS,6835,1435.0,1619,1250.0,48.0,189.0,0.24,23.4,17.5,10.0
INFY,771841,1859.0,1903,1352.0,29.0,200.0,2.04,40.0,31.8,5.0
IRCON,25093,267.0,352,100.0,26.0,62.4,1.16,18.5,16.8,2.0
IRCTC,73980,925.0,1148,636.0,64.1,40.4,0.7,53.8,40.5,2.0
IREDA,64533,240.0,310,50.0,48.1,31.8,0.0,9.3,17.3,10.0
ITC,628524,503.0,511,399.0,30.7,59.7,2.74,37.5,28.4,1.0
JIOFIN,208483,328.0,395,203.0,132.0,219.0,0.0,1.55,1.27,10.0
JUBLFOOD,42560,645.0,656,421.0,156.0,32.9,0.19,10.9,12.4,2.0
KALYANKJIL,59049,573.0,634,203.0,93.7,40.7,0.21,14.0,15.2,10.0
KAYNES,32532,5082.0,5210,1717.0,155.0,389.0,0.0,14.5,10.6,10.0
KEI,38788,4298.0,5040,2317.0,63.6,349.0,0.08,27.2,20.2,2.0
KOTAKBANK,353319,1777.0,1926,1544.0,19.0,654.0,0.11,7.86,15.1,5.0
KPIGREEN,12071,1001.0,1118,255.0,61.6,69.3,0.02,21.6,29.6,5.0
KPITTECH,49768,1815.0,1929,1038.0,75.1,78.3,0.37,38.4,31.2,10.0
KSCL,5332,1036.0,1180,535.0,17.0,240.0,0.48,24.7,23.0,2.0
LALPATHLAB,27586,3301.0,3360,1943.0,72.3,222.0,0.73,25.2,20.4,10.0
LATENTVIEW,10197,495.0,575,393.0,61.8,66.8,0.0,15.2,12.2,1.0
LT,490594,3568.0,3949,2623.0,36.9,628.0,0.78,13.4,14.7,2.0
LTIM,164783,5564.0,6443,4514.0,36.1,676.0,1.17,31.2,25.0,1.0
LTTS,55111,5208.0,5885,4107.0,42.2,504.0,0.96,33.6,26.4,2.0
LXCHEM,7502,271.0,321,220.0,64.4,65.2,0.22,9.4,7.36,2.0
M&M,353218,2840.0,3014,1450.0,32.0,532.0,0.74,13.6,18.4,5.0
MANKIND,92182,2301.0,2490,1680.0,47.0,234.0,0.0,26.2,21.5,1.0
MAPMYINDIA,12148,2247.0,2748,1600.0,88.3,122.0,0.16,26.2,20.6,2.0
MARICO,85582,661.0,691,486.0,56.4,29.6,1.44,43.1,38.5,1.0
MARUTI,383989,12213.0,13680,9410.0,26.1,2724.0,1.02,21.8,16.8,5.0
MAZDOCK,100340,4975.0,5860,1742.0,43.3,310.0,0.31,44.1,35.2,10.0
METROBRAND,36130,1329.0,1441,986.0,83.6,67.5,0.38,20.2,24.8,5.0
MOLDTECH,614,215.0,399,180.0,23.0,42.8,0.93,31.3,24.7,2.0
MOLDTKPAC,2610,785.0,1010,715.0,40.5,179.0,0.25,14.5,11.6,5.0
MOTHERSON,125825,186.0,209,86.8,39.5,38.6,0.43,13.7,11.8,1.0
MTARTECH,5271,1714.0,2920,1600.0,131.0,220.0,0.0,11.7,8.66,10.0
MUFTI,1120,174.0,325,136.0,18.6,53.0,0.29,19.4,19.1,2.0
MUTHOOTFIN,73626,1834.0,1905,1170.0,16.5,629.0,1.31,13.3,18.5,10.0
NAUKRI,95975,7418.0,7440,3972.0,149.0,2339.0,0.3,3.65,2.44,10.0
NAVINFLUOR,16488,3325.0,4725,2876.0,75.5,481.0,0.36,10.4,10.1,2.0
NAZARA,7216,943.0,1035,591.0,86.4,261.0,0.0,5.93,4.36,4.0
NEOGEN,4194,1590.0,1859,1149.0,112.0,288.0,0.13,9.38,5.74,10.0
NESTLEIND,243493,2525.0,2771,2163.0,75.2,34.6,0.61,169.0,135.0,1.0
NETWEB,13021,2310.0,2773,739.0,151.0,75.0,0.09,38.4,29.3,2.0
PAGEIND,45656,40948.0,42922,33070.0,79.3,1432.0,0.9,45.0,38.4,10.0
PARAS,4713,1208.0,1593,609.0,123.0,114.0,0.0,9.8,7.0,10.0
PERSISTENT,74824,4857.0,4965,2402.0,63.9,322.0,0.54,29.2,24.0,5.0
PIDILITIND,155500,3057.0,3279,2293.0,82.8,165.0,0.52,29.7,22.8,1.0
PIIND,67310,4436.0,4600,3060.0,38.5,575.0,0.34,24.0,21.1,1.0
POLYCAB,100365,6674.0,7331,3801.0,56.4,545.0,0.45,31.3,23.2,10.0
PRINCEPIPE,6624,599.0,776,505.0,38.1,140.0,0.17,14.7,11.4,10.0
RAILTEL,15257,475.0,618,165.0,57.1,56.9,0.6,20.2,15.2,10.0
RAYMOND,12315,1850.0,2381,919.0,22.5,693.0,0.54,30.9,44.5,10.0
REDTAPE,8986,650.0,810,411.0,56.1,46.9,0.0,31.9,31.3,2.0
RELAXO,19367,778.0,959,758.0,103.0,80.4,0.39,13.9,10.5,1.0
RELIANCE,2000245,2956.0,3218,2220.0,29.1,1173.0,0.34,9.61,9.25,10.0
ROSSARI,5031,911.0,953,657.0,36.9,190.0,0.05,18.1,13.2,2.0
ROUTE,9619,1532.0,1942,1386.0,27.7,342.0,0.72,20.7,18.2,10.0
RVNL,118982,571.0,647,123.0,81.8,42.0,0.37,18.4,19.6,10.0
SBICARD,66447,699.0,858,648.0,27.6,127.0,0.36,12.5,22.0,10.0
SBIN,724768,812.0,912,543.0,9.94,465.0,1.69,6.16,17.3,1.0
SIEMENS,256004,7189.0,7974,3246.0,104.0,391.0,0.14,21.0,15.7,2.0
SONACOMS,40272,687.0,765,488.0,73.1,45.2,0.45,24.0,20.9,10.0
SPICELEC,904,196.0,268,49.1,,7.17,0.0,-5.04,-16.5,10.0
SRF,73549,2481.0,2697,2081.0,59.9,387.0,0.29,12.7,12.2,10.0
SUNPHARMA,418144,1743.0,1758,1068.0,39.7,265.0,0.77,17.3,16.7,1.0
TATACONSUM,117526,1188.0,1254,817.0,88.5,162.0,0.65,10.6,8.32,1.0
TATAELXSI,42346,6800.0,9200,6407.0,53.8,402.0,1.03,42.7,34.5,10.0
TATAINVEST,30495,6027.0,9757,2401.0,82.8,5923.0,0.46,1.67,1.55,10.0
TATAMOTORS,403224,1098.0,1179,593.0,11.9,255.0,0.27,20.1,49.4,2.0
TATAPOWER,132175,414.0,471,230.0,36.0,101.0,0.48,11.1,11.3,1.0
TATATECH,40528,999.0,1400,970.0,62.4,79.4,0.84,28.3,21.9,2.0
TCS,1597766,4416.0,4431,3311.0,33.6,250.0,1.25,64.3,51.5,1.0
TECHM,155031,1585.0,1589,1089.0,61.6,273.0,2.52,11.9,8.63,5.0
TIINDIA,77584,4011.0,4682,2752.0,90.7,264.0,0.09,26.3,26.5,1.0
TITAGARH,19231,1428.0,1897,636.0,65.5,165.0,0.06,25.0,18.1,2.0
TITAN,305820,3445.0,3887,3038.0,88.5,106.0,0.32,22.7,32.9,1.0
TORNTPHARM,113313,3348.0,3395,1771.0,67.7,203.0,0.84,23.2,24.2,5.0
TRENT,231152,6502.0,6550,1945.0,185.0,114.0,0.05,23.8,27.2,1.0
TVSMOTOR,123538,2600.0,2658,1321.0,72.1,143.0,0.31,14.7,26.6,1.0
UBL,52133,1972.0,2182,1492.0,117.0,158.0,0.51,13.5,10.1,1.0
UNITDSPR,102287,1406.0,1480,981.0,72.4,97.9,0.64,27.9,21.0,2.0
UNOMINDA,66399,1156.0,1207,549.0,74.8,86.1,0.17,19.9,18.9,2.0
VBL,184762,1422.0,1707,828.0,76.3,66.0,0.18,28.8,35.2,5.0
VINATIORGA,21468,2071.0,2331,1462.0,63.6,237.0,0.34,18.6,13.8,1.0
MANYAVAR,27239,1122.0,1488,886.0,70.8,66.0,0.76,30.7,26.7,1.0
VOLTAS,50796,1535.0,1599,800.0,112.0,176.0,0.36,8.51,4.4,1.0
WESTLIFE,12564,806.0,1025,701.0,288.0,37.7,0.43,11.0,12.0,2.0
WIPRO,270023,516.0,580,375.0,24.2,143.0,0.19,16.9,14.3,2.0
YASHO,2116,1856.0,2427,1514.0,52.0,259.0,0.03,12.8,21.8,10.0
ZENTEC,14311,1703.0,1785,650.0,93.2,53.4,0.01,46.3,33.1,1.0
