Cash Flows,Stockname,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Cash from Financing Activity,BSE,,,,,,,-196.0,,,-303.0,,,,-45.0,,,,-120.0,,,-85.0,,,108.0,,,-352.0,,,-618.0,,,-55.0,,,9.0,,,-186.0,,,-149.0
Net Cash Flow,BSE,,,,,,,-126.0,,,-172.0,,,,173.0,,,,0.0,,,827.0,,,-366.0,,,-318.0,,,249.0,,,-312.0,,,471.0,,,-434.0,,,1622.0
Cash from Operating Activity,CAMS,,,,,,,,,,,,,,,,,,,,,,,,162.0,,,187.0,,,199.0,,,264.0,,,321.0,,,318.0,,,401.0
Cash from Investing Activity,CAMS,,,,,,,,,,,,,,,,,,,,,,,,-19.0,,,-31.0,,,-84.0,,,2.0,,,-131.0,,,-102.0,,,-188.0
Cash from Financing Activity,CAMS,,,,,,,,,,,,,,,,,,,,,,,,-138.0,,,-158.0,,,-97.0,,,-272.0,,,-204.0,,,-205.0,,,-224.0
Net Cash Flow,CAMS,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,-3.0,,,18.0,,,-6.0,,,-13.0,,,12.0,,,-10.0
Cash from Operating Activity,CAMPUS,,,,,,,,,,,,,,,,,,,,,100.0,,,-38.0,,,54.0,,,99.0,,,124.0,,,18.0,,,,,,
Cash from Investing Activity,CAMPUS,,,,,,,,,,,,,,,,,,,,,-291.0,,,-47.0,,,-29.0,,,-155.0,,,-9.0,,,-34.0,,,,,,
Cash from Financing Activity,CAMPUS,,,,,,,,,,,,,,,,,,,,,193.0,,,84.0,,,-26.0,,,69.0,,,-129.0,,,16.0,,,,,,
Net Cash Flow,CAMPUS,,,,,,,,,,,,,,,,,,,,,2.0,,,-1.0,,,0.0,,,14.0,,,-14.0,,,-1.0,,,,,,
Cash from Operating Activity,CDSL,,,,,,,24.0,,,35.0,,,,43.0,,,,28.0,,,43.0,,,79.0,,,86.0,,,82.0,,,193.0,,,283.0,,,249.0,,,386.0
Cash from Investing Activity,CDSL,,,,,,,-6.0,,,-13.0,,,,-19.0,,,,0.0,,,18.0,,,-67.0,,,-67.0,,,-33.0,,,-107.0,,,-146.0,,,-126.0,,,-249.0
Cash from Financing Activity,CDSL,,,,,,,-18.0,,,-23.0,,,,-23.0,,,,-28.0,,,-31.0,,,-38.0,,,-20.0,,,-51.0,,,-47.0,,,-94.0,,,-158.0,,,-169.0
Net Cash Flow,CDSL,,,,,,,0.0,,,-1.0,,,,0.0,,,,1.0,,,29.0,,,-26.0,,,-1.0,,,-1.0,,,38.0,,,44.0,,,-35.0,,,-32.0
Cash from Operating Activity,CENTUM,,,,,,,17.0,,,64.0,,,,28.0,,,,68.0,,,-53.0,,,-27.0,,,50.0,,,109.0,,,81.0,,,103.0,,,71.0,,,214.0
Cash from Investing Activity,CENTUM,,,,,,,-6.0,,,-28.0,,,,-18.0,,,,-36.0,,,-70.0,,,-31.0,,,-22.0,,,-11.0,,,13.0,,,-15.0,,,-10.0,,,-44.0
Cash from Financing Activity,CENTUM,,,,,,,-7.0,,,-27.0,,,,22.0,,,,-25.0,,,97.0,,,66.0,,,-33.0,,,-102.0,,,-66.0,,,-81.0,,,-88.0,,,-145.0
Net Cash Flow,CENTUM,,,,,,,3.0,,,9.0,,,,32.0,,,,6.0,,,-26.0,,,8.0,,,-4.0,,,-4.0,,,28.0,,,7.0,,,-27.0,,,25.0
Cash from Operating Activity,CGPOWER,,,,,,,425.0,,,320.0,,,,-672.0,,,,-61.0,,,-540.0,,,380.0,,,811.0,,,692.0,,,-242.0,,,483.0,,,947.0,,,397.0
Cash from Investing Activity,CGPOWER,,,,,,,-1138.0,,,-98.0,,,,429.0,,,,432.0,,,497.0,,,-1031.0,,,-745.0,,,-178.0,,,-51.0,,,227.0,,,-21.0,,,-662.0
Cash from Financing Activity,CGPOWER,,,,,,,799.0,,,10.0,,,,157.0,,,,-222.0,,,50.0,,,514.0,,,-213.0,,,-528.0,,,590.0,,,-800.0,,,-612.0,,,-246.0
Net Cash Flow,CGPOWER,,,,,,,86.0,,,232.0,,,,-87.0,,,,149.0,,,7.0,,,-138.0,,,-147.0,,,-14.0,,,297.0,,,-91.0,,,315.0,,,-512.0
Cash from Operating Activity,COCHINSHIP,,,,,,,,,,,,,,,,,,,,,,,,631.0,,,-451.0,,,253.0,,,710.0,,,1398.0,,,1889.0,,,-172.0
Cash from Investing Activity,COCHINSHIP,,,,,,,,,,,,,,,,,,,,,,,,-1312.0,,,1074.0,,,-97.0,,,-443.0,,,-1007.0,,,-35.0,,,1056.0
Cash from Financing Activity,COCHINSHIP,,,,,,,,,,,,,,,,,,,,,,,,812.0,,,-409.0,,,-309.0,,,-405.0,,,-239.0,,,-276.0,,,-371.0
Net Cash Flow,COCHINSHIP,,,,,,,,,,,,,,,,,,,,,,,,131.0,,,214.0,,,-154.0,,,-138.0,,,152.0,,,1578.0,,,513.0
Cash from Operating Activity,COFORGE,,,,,,,235.0,,,145.0,,,,258.0,,,,360.0,,,472.0,,,382.0,,,453.0,,,297.0,,,762.0,,,766.0,,,950.0,,,903.0
Cash from Investing Activity,COFORGE,,,,,,,-107.0,,,-78.0,,,,-184.0,,,,-223.0,,,-343.0,,,-248.0,,,-237.0,,,136.0,,,-86.0,,,-963.0,,,-269.0,,,-265.0
Cash from Financing Activity,COFORGE,,,,,,,-91.0,,,-53.0,,,,-66.0,,,,-73.0,,,-67.0,,,-74.0,,,-106.0,,,-133.0,,,-696.0,,,-156.0,,,-558.0,,,-887.0
Net Cash Flow,COFORGE,,,,,,,37.0,,,14.0,,,,7.0,,,,64.0,,,62.0,,,60.0,,,109.0,,,300.0,,,-20.0,,,-353.0,,,123.0,,,-249.0
Cash from Operating Activity,CONCOR,,,,,,,910.0,,,673.0,,,,1166.0,,,,-781.0,,,2029.0,,,1313.0,,,-1941.0,,,4286.0,,,1029.0,,,1370.0,,,1406.0,,,1388.0
Cash from Investing Activity,CONCOR,,,,,,,-442.0,,,-552.0,,,,-648.0,,,,-753.0,,,-882.0,,,-745.0,,,1381.0,,,-2875.0,,,34.0,,,-1068.0,,,-593.0,,,-699.0
Cash from Financing Activity,CONCOR,,,,,,,-280.0,,,-384.0,,,,-349.0,,,,-298.0,,,-292.0,,,-492.0,,,481.0,,,-1470.0,,,-457.0,,,-595.0,,,-854.0,,,-840.0
Net Cash Flow,CONCOR,,,,,,,188.0,,,-262.0,,,,169.0,,,,-1833.0,,,855.0,,,76.0,,,-79.0,,,-59.0,,,606.0,,,-293.0,,,-41.0,,,-150.0
Cash from Operating Activity,CYIENT,,,,,,,160.0,,,227.0,,,,362.0,,,,278.0,,,420.0,,,296.0,,,370.0,,,582.0,,,856.0,,,634.0,,,554.0,,,726.0
Cash from Investing Activity,CYIENT,,,,,,,-75.0,,,8.0,,,,-448.0,,,,-54.0,,,-153.0,,,-57.0,,,-190.0,,,-146.0,,,-104.0,,,-377.0,,,-1006.0,,,-537.0
Cash from Financing Activity,CYIENT,,,,,,,-42.0,,,-43.0,,,,-32.0,,,,-111.0,,,-93.0,,,-136.0,,,-232.0,,,-446.0,,,-253.0,,,-544.0,,,-109.0,,,-266.0
Net Cash Flow,CYIENT,,,,,,,43.0,,,193.0,,,,-118.0,,,,113.0,,,174.0,,,103.0,,,-52.0,,,-10.0,,,499.0,,,-287.0,,,-562.0,,,-77.0
Cash from Operating Activity,DABUR,,,,,,,870.0,,,1098.0,,,,1047.0,,,,1187.0,,,1227.0,,,1092.0,,,1499.0,,,1614.0,,,2115.0,,,1802.0,,,1488.0,,,2013.0
Cash from Investing Activity,DABUR,,,,,,,-622.0,,,-104.0,,,,-876.0,,,,-730.0,,,-807.0,,,-541.0,,,338.0,,,-517.0,,,-1404.0,,,-1273.0,,,-583.0,,,-971.0
Cash from Financing Activity,DABUR,,,,,,,-234.0,,,-804.0,,,,-417.0,,,,-374.0,,,-339.0,,,-577.0,,,-1888.0,,,-1043.0,,,-613.0,,,-490.0,,,-1035.0,,,-1161.0
Net Cash Flow,DABUR,,,,,,,13.0,,,190.0,,,,-245.0,,,,82.0,,,81.0,,,-27.0,,,-51.0,,,54.0,,,97.0,,,38.0,,,-130.0,,,-119.0
Cash from Operating Activity,DEEPAKNTR,,,,,,,,,,,,,,108.0,,,,167.0,,,49.0,,,183.0,,,60.0,,,765.0,,,1002.0,,,824.0,,,650.0,,,878.0
Cash from Investing Activity,DEEPAKNTR,,,,,,,,,,,,,,-89.0,,,,-169.0,,,-353.0,,,-525.0,,,-163.0,,,-428.0,,,-396.0,,,-424.0,,,-276.0,,,-721.0
Cash from Financing Activity,DEEPAKNTR,,,,,,,,,,,,,,-22.0,,,,4.0,,,305.0,,,345.0,,,96.0,,,-338.0,,,-599.0,,,-386.0,,,-359.0,,,44.0
Net Cash Flow,DEEPAKNTR,,,,,,,,,,,,,,-3.0,,,,2.0,,,1.0,,,4.0,,,-6.0,,,-1.0,,,7.0,,,14.0,,,15.0,,,200.0
Cash from Operating Activity,DIVISLAB,,,,,,,480.0,,,557.0,,,,826.0,,,,1038.0,,,1150.0,,,776.0,,,954.0,,,1216.0,,,1947.0,,,1912.0,,,2459.0,,,1261.0
Cash from Investing Activity,DIVISLAB,,,,,,,-255.0,,,-305.0,,,,-521.0,,,,-406.0,,,-1140.0,,,-478.0,,,-685.0,,,-83.0,,,75.0,,,-2195.0,,,-2707.0,,,-269.0
Cash from Financing Activity,DIVISLAB,,,,,,,-231.0,,,-248.0,,,,-303.0,,,,-631.0,,,2.0,,,-314.0,,,-246.0,,,-1091.0,,,-35.0,,,-532.0,,,-797.0,,,-799.0
Net Cash Flow,DIVISLAB,,,,,,,-5.0,,,3.0,,,,3.0,,,,0.0,,,13.0,,,-17.0,,,23.0,,,41.0,,,1987.0,,,-816.0,,,-1045.0,,,193.0
Cash from Operating Activity,DIXON,,,,,,,45.0,,,10.0,,,,44.0,,,,42.0,,,53.0,,,68.0,,,-3.0,,,237.0,,,170.0,,,273.0,,,726.0,,,584.0
Cash from Investing Activity,DIXON,,,,,,,-9.0,,,1.0,,,,-22.0,,,,-22.0,,,-43.0,,,-100.0,,,-64.0,,,-99.0,,,-265.0,,,-464.0,,,-356.0,,,-531.0
Cash from Financing Activity,DIXON,,,,,,,-37.0,,,-13.0,,,,-22.0,,,,-20.0,,,-8.0,,,42.0,,,69.0,,,-57.0,,,63.0,,,304.0,,,-330.0,,,-70.0
Net Cash Flow,DIXON,,,,,,,0.0,,,-1.0,,,,0.0,,,,1.0,,,1.0,,,10.0,,,2.0,,,81.0,,,-32.0,,,113.0,,,41.0,,,-17.0
Cash from Operating Activity,DMART,,,,,,,127.0,,,198.0,,,,222.0,,,,433.0,,,455.0,,,730.0,,,807.0,,,1280.0,,,1375.0,,,1372.0,,,2630.0,,,2746.0
Cash from Investing Activity,DMART,,,,,,,-231.0,,,-270.0,,,,-474.0,,,,-633.0,,,-2482.0,,,464.0,,,-958.0,,,-4657.0,,,-1110.0,,,-1289.0,,,-2313.0,,,-2468.0
Cash from Financing Activity,DMART,,,,,,,118.0,,,65.0,,,,234.0,,,,196.0,,,2025.0,,,-1159.0,,,209.0,,,3357.0,,,-180.0,,,-179.0,,,-205.0,,,-148.0
Net Cash Flow,DMART,,,,,,,14.0,,,-7.0,,,,-17.0,,,,-3.0,,,-1.0,,,34.0,,,57.0,,,-19.0,,,86.0,,,-96.0,,,112.0,,,130.0
Cash from Operating Activity,DRREDDY,,,,,,,1378.0,,,1970.0,,,,2524.0,,,,3263.0,,,2144.0,,,1803.0,,,2870.0,,,2984.0,,,3570.0,,,2811.0,,,5888.0,,,4543.0
Cash from Investing Activity,DRREDDY,,,,,,,-1437.0,,,-1604.0,,,,-2370.0,,,,-1610.0,,,-1890.0,,,-1483.0,,,-769.0,,,-495.0,,,-2255.0,,,-2565.0,,,-4109.0,,,-4034.0
Cash from Financing Activity,DRREDDY,,,,,,,-157.0,,,-24.0,,,,-433.0,,,,-1700.0,,,-369.0,,,-444.0,,,-2133.0,,,-2516.0,,,-30.0,,,-242.0,,,-2686.0,,,-376.0
Net Cash Flow,DRREDDY,,,,,,,-216.0,,,342.0,,,,-280.0,,,,-47.0,,,-114.0,,,-124.0,,,-31.0,,,-27.0,,,1286.0,,,3.0,,,-907.0,,,133.0
Cash from Operating Activity,EICHERMOT,,,,,,496.0,,,716.0,,,,1047.0,,,,,1463.0,,,1708.0,,,2482.0,,,1575.0,,,1694.0,,,1691.0,,,1527.0,,,2823.0,,,3724.0
Cash from Investing Activity,EICHERMOT,,,,,,-773.0,,,-790.0,,,,-1214.0,,,,,-1001.0,,,-1744.0,,,-2145.0,,,-660.0,,,-1508.0,,,-1625.0,,,-983.0,,,-2397.0,,,-2834.0
Cash from Financing Activity,EICHERMOT,,,,,,-111.0,,,-47.0,,,,-162.0,,,,,-466.0,,,25.0,,,-262.0,,,-292.0,,,-858.0,,,-15.0,,,-593.0,,,-417.0,,,-844.0
Net Cash Flow,EICHERMOT,,,,,,-388.0,,,-121.0,,,,-329.0,,,,,-4.0,,,-10.0,,,75.0,,,623.0,,,-673.0,,,51.0,,,-50.0,,,8.0,,,45.0
Cash from Operating Activity,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.0,,,36.0,,,63.0,,,17.0,,,-2.0,,,31.0
Cash from Investing Activity,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.0,,,-15.0,,,-10.0,,,-24.0,,,-256.0,,,-123.0
Cash from Financing Activity,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,-20.0,,,-45.0,,,26.0,,,249.0,,,125.0
Net Cash Flow,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,8.0,,,19.0,,,-10.0,,,33.0
Cash from Operating Activity,EXIDEIND,,,,,,,399.0,,,872.0,,,,180.0,,,,1583.0,,,937.0,,,914.0,,,1687.0,,,1619.0,,,2263.0,,,61.0,,,768.0,,,1531.0
Cash from Investing Activity,EXIDEIND,,,,,,,-86.0,,,-591.0,,,,-61.0,,,,-1329.0,,,-727.0,,,-535.0,,,-1438.0,,,-1097.0,,,-2082.0,,,66.0,,,-799.0,,,-1458.0
Cash from Financing Activity,EXIDEIND,,,,,,,-155.0,,,-215.0,,,,-199.0,,,,-167.0,,,-182.0,,,-386.0,,,-217.0,,,-532.0,,,-170.0,,,-172.0,,,-30.0,,,110.0
Net Cash Flow,EXIDEIND,,,,,,,158.0,,,66.0,,,,-79.0,,,,87.0,,,28.0,,,-6.0,,,32.0,,,-9.0,,,11.0,,,-45.0,,,-61.0,,,183.0
Cash from Operating Activity,FINEORG,,,,,,,,,,,,,,,,,,,,,45.0,,,65.0,,,98.0,,,219.0,,,134.0,,,67.0,,,485.0,,,635.0
Cash from Investing Activity,FINEORG,,,,,,,,,,,,,,,,,,,,,-16.0,,,-52.0,,,-93.0,,,-85.0,,,-40.0,,,-32.0,,,-128.0,,,-396.0
Cash from Financing Activity,FINEORG,,,,,,,,,,,,,,,,,,,,,-55.0,,,-17.0,,,92.0,,,-37.0,,,-41.0,,,-68.0,,,-69.0,,,-59.0
Net Cash Flow,FINEORG,,,,,,,,,,,,,,,,,,,,,-26.0,,,-3.0,,,97.0,,,98.0,,,53.0,,,-33.0,,,289.0,,,180.0
Cash from Operating Activity,GMMPFAUDLR,,,,,,,24.0,,,6.0,,,,30.0,,,,25.0,,,22.0,,,68.0,,,27.0,,,27.0,,,157.0,,,236.0,,,185.0,,,284.0
Cash from Investing Activity,GMMPFAUDLR,,,,,,,-12.0,,,2.0,,,,-17.0,,,,-17.0,,,-21.0,,,-24.0,,,-8.0,,,-50.0,,,-66.0,,,-134.0,,,-294.0,,,-32.0
Cash from Financing Activity,GMMPFAUDLR,,,,,,,-5.0,,,-7.0,,,,-6.0,,,,-6.0,,,-6.0,,,-8.0,,,-10.0,,,-5.0,,,105.0,,,-55.0,,,130.0,,,-244.0
Net Cash Flow,GMMPFAUDLR,,,,,,,8.0,,,2.0,,,,8.0,,,,2.0,,,-5.0,,,35.0,,,9.0,,,-28.0,,,196.0,,,47.0,,,21.0,,,8.0
Cash from Operating Activity,GODREJPROP,,,,,,,121.0,,,-689.0,,,,-941.0,,,,490.0,,,-566.0,,,1155.0,,,478.0,,,-232.0,,,-671.0,,,-452.0,,,-2861.0,,,-693.0
Cash from Investing Activity,GODREJPROP,,,,,,,-15.0,,,-185.0,,,,-96.0,,,,191.0,,,14.0,,,-973.0,,,-971.0,,,-1721.0,,,-3317.0,,,127.0,,,2564.0,,,-1974.0
Cash from Financing Activity,GODREJPROP,,,,,,,-442.0,,,1566.0,,,,852.0,,,,-554.0,,,335.0,,,-493.0,,,970.0,,,1974.0,,,4259.0,,,235.0,,,832.0,,,3258.0
Net Cash Flow,GODREJPROP,,,,,,,-336.0,,,692.0,,,,-184.0,,,,126.0,,,-217.0,,,-311.0,,,476.0,,,22.0,,,271.0,,,-90.0,,,536.0,,,591.0
Cash from Operating Activity,GREENLAM,,,,,,,,,,0.0,,,,118.0,,,,116.0,,,185.0,,,109.0,,,64.0,,,96.0,,,213.0,,,71.0,,,169.0,,,194.0
Cash from Investing Activity,GREENLAM,,,,,,,,,,0.0,,,,-100.0,,,,-53.0,,,-22.0,,,-38.0,,,-57.0,,,-54.0,,,-154.0,,,-136.0,,,-535.0,,,-527.0
Cash from Financing Activity,GREENLAM,,,,,,,,,,0.0,,,,-12.0,,,,-63.0,,,-160.0,,,-69.0,,,-6.0,,,-22.0,,,-71.0,,,62.0,,,366.0,,,350.0
Net Cash Flow,GREENLAM,,,,,,,,,,0.0,,,,5.0,,,,0.0,,,3.0,,,2.0,,,1.0,,,20.0,,,-12.0,,,-3.0,,,0.0,,,17.0
Cash from Operating Activity,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,17.0,,,100.0,,,214.0,,,366.0,,,337.0,,,135.0
Cash from Investing Activity,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-99.0,,,-22.0,,,-70.0,,,-136.0,,,-248.0,,,-158.0
Cash from Financing Activity,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,102.0,,,-86.0,,,-141.0,,,-185.0,,,-134.0,,,50.0
Net Cash Flow,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,20.0,,,-8.0,,,2.0,,,44.0,,,-44.0,,,27.0
Cash from Operating Activity,GRSE,,,,,,,,,,,,,,,,,,,,,,,,-74.0,,,-112.0,,,628.0,,,515.0,,,-356.0,,,1450.0,,,-707.0
Cash from Investing Activity,GRSE,,,,,,,,,,,,,,,,,,,,,,,,267.0,,,198.0,,,245.0,,,-1173.0,,,429.0,,,-1666.0,,,1056.0
Cash from Financing Activity,GRSE,,,,,,,,,,,,,,,,,,,,,,,,-193.0,,,-89.0,,,-153.0,,,-62.0,,,-72.0,,,220.0,,,-358.0
Net Cash Flow,GRSE,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-3.0,,,720.0,,,-720.0,,,0.0,,,4.0,,,-9.0
Cash from Operating Activity,HAL,,,,,,,,,,,,,,,,,,,,,-404.0,,,-748.0,,,-7700.0,,,1527.0,,,15117.0,,,10173.0,,,8830.0,,,8223.0
Cash from Investing Activity,HAL,,,,,,,,,,,,,,,,,,,,,3012.0,,,597.0,,,5294.0,,,-1339.0,,,-1180.0,,,-12785.0,,,-5728.0,,,-6410.0
Cash from Financing Activity,HAL,,,,,,,,,,,,,,,,,,,,,-164.0,,,-2540.0,,,2326.0,,,64.0,,,-7070.0,,,-1464.0,,,-1731.0,,,-1999.0
Net Cash Flow,HAL,,,,,,,,,,,,,,,,,,,,,2443.0,,,-2691.0,,,-80.0,,,252.0,,,6867.0,,,-4076.0,,,1370.0,,,-186.0
Cash from Operating Activity,HAPPSTMNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,112.0,,,143.0,,,168.0,,,207.0,,,213.0
Cash from Investing Activity,HAPPSTMNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,-72.0,,,-271.0,,,-96.0,,,-348.0,,,-537.0
Cash from Financing Activity,HAPPSTMNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,-59.0,,,-13.0,,,170.0,,,-91.0,,,72.0,,,363.0
Net Cash Flow,HAPPSTMNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,27.0,,,42.0,,,-19.0,,,-68.0,,,39.0
Cash from Operating Activity,HAVELLS,,,,,,,638.0,,,868.0,,,,963.0,,,,513.0,,,767.0,,,1100.0,,,501.0,,,827.0,,,660.0,,,1728.0,,,565.0,,,1953.0
Cash from Investing Activity,HAVELLS,,,,,,,-144.0,,,-376.0,,,,-485.0,,,,-121.0,,,-220.0,,,-946.0,,,185.0,,,-548.0,,,-763.0,,,-759.0,,,31.0,,,-1618.0
Cash from Financing Activity,HAVELLS,,,,,,,-252.0,,,-310.0,,,,-754.0,,,,-621.0,,,-98.0,,,-409.0,,,-318.0,,,-716.0,,,190.0,,,-547.0,,,-907.0,,,-534.0
Net Cash Flow,HAVELLS,,,,,,,242.0,,,183.0,,,,-277.0,,,,-229.0,,,450.0,,,-255.0,,,368.0,,,-437.0,,,87.0,,,421.0,,,-311.0,,,-199.0
Cash from Operating Activity,HCLTECH,,,,,,,,4492.0,,,6457.0,,,,5539.0,,,3823.0,,,8995.0,,,8328.0,,,8971.0,,,13359.0,,,19618.0,,,16900.0,,,18009.0,,,22448.0
Cash from Investing Activity,HCLTECH,,,,,,,,-2361.0,,,-4842.0,,,,-2088.0,,,-2208.0,,,-3890.0,,,-2236.0,,,-3256.0,,,-12332.0,,,-5665.0,,,1597.0,,,-3573.0,,,-6608.0
Cash from Financing Activity,HCLTECH,,,,,,,,-2086.0,,,-1308.0,,,,-3140.0,,,-2237.0,,,-4517.0,,,-5714.0,,,-1471.0,,,-3168.0,,,-11192.0,,,-14508.0,,,-15881.0,,,-15464.0
Net Cash Flow,HCLTECH,,,,,,,,44.0,,,307.0,,,,311.0,,,-623.0,,,588.0,,,378.0,,,4244.0,,,-2141.0,,,2761.0,,,3989.0,,,-1445.0,,,376.0
Cash from Operating Activity,HDFCAMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149.0,,,1615.0
Cash from Investing Activity,HDFCAMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-217.0,,,-543.0
Cash from Financing Activity,HDFCAMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-930.0,,,-1066.0
Net Cash Flow,HDFCAMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0
Cash from Operating Activity,HDFCBANK,,,,,,,-5847.0,,,4211.0,,,,-21281.0,,,,-34435.0,,,17282.0,,,17214.0,,,-62872.0,,,-16869.0,,,42476.0,,,-11960.0,,,20814.0,,,19069.0
Cash from Investing Activity,HDFCBANK,,,,,,,-902.0,,,-1099.0,,,,-800.0,,,,-837.0,,,-1146.0,,,-842.0,,,-1503.0,,,-1403.0,,,-1823.0,,,-2051.0,,,-2992.0,,,16600.0
Cash from Financing Activity,HDFCBANK,,,,,,,13105.0,,,9270.0,,,,18694.0,,,,37815.0,,,-5893.0,,,57378.0,,,23131.0,,,24394.0,,,-7321.0,,,48124.0,,,23941.0,,,-3983.0
Net Cash Flow,HDFCBANK,,,,,,,6356.0,,,12382.0,,,,-3387.0,,,,2542.0,,,10242.0,,,73750.0,,,-41244.0,,,6122.0,,,33332.0,,,34113.0,,,41762.0,,,31687.0
Cash from Operating Activity,HDFCLIFE,,,,,,,,,,,,,,4459.0,,,,5687.0,,,6230.0,,,6739.0,,,9868.0,,,7388.0,,,9703.0,,,5943.0,,,6883.0,,,10721.0
Cash from Investing Activity,HDFCLIFE,,,,,,,,,,,,,,-3514.0,,,,-3962.0,,,-5177.0,,,-4421.0,,,-10182.0,,,-7789.0,,,-8952.0,,,-801.0,,,-10071.0,,,-13614.0
Cash from Financing Activity,HDFCLIFE,,,,,,,,,,,,,,-168.0,,,,-212.0,,,-236.0,,,-196.0,,,-337.0,,,38.0,,,678.0,,,-238.0,,,1985.0,,,-403.0
Net Cash Flow,HDFCLIFE,,,,,,,,,,,,,,777.0,,,,1513.0,,,817.0,,,2122.0,,,-651.0,,,-364.0,,,1429.0,,,4904.0,,,-1203.0,,,-3296.0
Cash from Operating Activity,HERITGFOOD,,,,,,,97.0,,,75.0,,,,52.0,,,,125.0,,,115.0,,,121.0,,,148.0,,,117.0,,,174.0,,,148.0,,,-61.0,,,390.0
Cash from Investing Activity,HERITGFOOD,,,,,,,-29.0,,,-62.0,,,,-47.0,,,,-66.0,,,-126.0,,,-200.0,,,-133.0,,,-97.0,,,69.0,,,-42.0,,,-83.0,,,-252.0
