Cash Flows,Stockname,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Cash from Financing Activity,HERITGFOOD,,,,,,,-65.0,,,-1.0,,,,-8.0,,,,-55.0,,,-13.0,,,55.0,,,-3.0,,,-22.0,,,-191.0,,,-93.0,,,126.0,,,-76.0
Net Cash Flow,HERITGFOOD,,,,,,,3.0,,,12.0,,,,-4.0,,,,4.0,,,-24.0,,,-23.0,,,12.0,,,-2.0,,,51.0,,,13.0,,,-17.0,,,62.0
Cash from Operating Activity,HEROMOTOCO,,,,,,,,,,2963.0,,,,2186.0,,,,3722.0,,,4007.0,,,4017.0,,,1032.0,,,5518.0,,,4110.0,,,2104.0,,,2614.0,,,4923.0
Cash from Investing Activity,HEROMOTOCO,,,,,,,,,,-1616.0,,,,31.0,,,,-2300.0,,,-1972.0,,,-1858.0,,,1298.0,,,-2819.0,,,-2289.0,,,-222.0,,,-421.0,,,-1828.0
Cash from Financing Activity,HEROMOTOCO,,,,,,,,,,-1414.0,,,,-2131.0,,,,-1475.0,,,-2036.0,,,-2102.0,,,-2252.0,,,-2602.0,,,-1852.0,,,-1975.0,,,-2147.0,,,-2717.0
Net Cash Flow,HEROMOTOCO,,,,,,,,,,-66.0,,,,86.0,,,,-53.0,,,-1.0,,,57.0,,,78.0,,,97.0,,,-31.0,,,-94.0,,,45.0,,,379.0
Cash from Operating Activity,HINDUNILVR,,,,,,,3605.0,,,3818.0,,,,3292.0,,,,4171.0,,,5185.0,,,6059.0,,,5800.0,,,7623.0,,,9163.0,,,9048.0,,,9991.0,,,15469.0
Cash from Investing Activity,HINDUNILVR,,,,,,,63.0,,,-475.0,,,,138.0,,,,-282.0,,,-1173.0,,,-1063.0,,,-438.0,,,1791.0,,,-1228.0,,,-1728.0,,,-1484.0,,,-5324.0
Cash from Financing Activity,HINDUNILVR,,,,,,,-4147.0,,,-2960.0,,,,-3462.0,,,,-3864.0,,,-4214.0,,,-4975.0,,,-5390.0,,,-6819.0,,,-9309.0,,,-8015.0,,,-8953.0,,,-10034.0
Net Cash Flow,HINDUNILVR,,,,,,,-480.0,,,383.0,,,,-33.0,,,,25.0,,,-202.0,,,21.0,,,-28.0,,,2595.0,,,-1374.0,,,-695.0,,,-446.0,,,111.0
Cash from Operating Activity,HLEGLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,45.0,,,48.0,,,1.0,,,5.0,,,93.0
Cash from Investing Activity,HLEGLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.0,,,-19.0,,,-29.0,,,-146.0,,,-40.0,,,-45.0
Cash from Financing Activity,HLEGLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.0,,,-30.0,,,-10.0,,,160.0,,,13.0,,,-18.0
Net Cash Flow,HLEGLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,-5.0,,,9.0,,,14.0,,,-22.0,,,31.0
Cash from Operating Activity,HNDFDS,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.0,,,17.0,,,72.0,,,36.0,,,99.0,,,87.0
Cash from Investing Activity,HNDFDS,,,,,,,,,,,,,,,,,,,,,,,,,,,-40.0,,,-145.0,,,-90.0,,,-139.0,,,-220.0,,,-381.0
Cash from Financing Activity,HNDFDS,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,153.0,,,34.0,,,91.0,,,128.0,,,298.0
Net Cash Flow,HNDFDS,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,24.0,,,16.0,,,-12.0,,,7.0,,,3.0
Cash from Operating Activity,ICICIBANK,,,,,,,17494.0,,,6765.0,,,,-12273.0,,,,23645.0,,,52636.0,,,19383.0,,,48671.0,,,79565.0,,,138015.0,,,58111.0,,,-3771.0,,,157284.0
Cash from Investing Activity,ICICIBANK,,,,,,,-18563.0,,,-15750.0,,,,-13175.0,,,,-12060.0,,,-1711.0,,,-50551.0,,,-30282.0,,,-42095.0,,,-63631.0,,,-39448.0,,,-67689.0,,,-144737.0
Cash from Financing Activity,ICICIBANK,,,,,,,9283.0,,,7872.0,,,,24827.0,,,,5814.0,,,-35470.0,,,39676.0,,,-19997.0,,,2992.0,,,-54667.0,,,17451.0,,,24791.0,,,13765.0
Net Cash Flow,ICICIBANK,,,,,,,8215.0,,,-1113.0,,,,-621.0,,,,17399.0,,,15455.0,,,8508.0,,,-1608.0,,,40462.0,,,19718.0,,,36114.0,,,-46669.0,,,26312.0
Cash from Operating Activity,ICICIGI,,,,,,,984.0,,,595.0,,,,-98.0,,,,511.0,,,1628.0,,,2390.0,,,2976.0,,,3433.0,,,1774.0,,,809.0,,,2290.0,,,2407.0
Cash from Investing Activity,ICICIGI,,,,,,,-962.0,,,-706.0,,,,171.0,,,,-310.0,,,-1990.0,,,-1896.0,,,-2856.0,,,-3382.0,,,-1367.0,,,135.0,,,-1685.0,,,-1921.0
Cash from Financing Activity,ICICIGI,,,,,,,102.0,,,4.0,,,,-93.0,,,,-148.0,,,361.0,,,-96.0,,,-310.0,,,-420.0,,,-212.0,,,-879.0,,,-695.0,,,-355.0
Net Cash Flow,ICICIGI,,,,,,,124.0,,,-108.0,,,,-20.0,,,,53.0,,,-1.0,,,398.0,,,-190.0,,,-369.0,,,195.0,,,65.0,,,-90.0,,,131.0
Cash from Operating Activity,ICICIPRULI,,,,,,,-2641.0,,,-2382.0,,,,523.0,,,,3634.0,,,4130.0,,,5690.0,,,11377.0,,,8596.0,,,7314.0,,,1831.0,,,89.0,,,-7315.0
Cash from Investing Activity,ICICIPRULI,,,,,,,1564.0,,,6012.0,,,,-1822.0,,,,27.0,,,-696.0,,,-5389.0,,,-7559.0,,,-10797.0,,,-5084.0,,,-816.0,,,-1145.0,,,7420.0
Cash from Financing Activity,ICICIPRULI,,,,,,,-514.0,,,-1091.0,,,,-966.0,,,,-1442.0,,,-994.0,,,-1188.0,,,-843.0,,,-405.0,,,1205.0,,,-319.0,,,-112.0,,,-88.0
Net Cash Flow,ICICIPRULI,,,,,,,-1591.0,,,2539.0,,,,-2264.0,,,,2219.0,,,2439.0,,,-887.0,,,2975.0,,,-2606.0,,,3434.0,,,696.0,,,-1168.0,,,17.0
Cash from Operating Activity,IDEAFORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.0,,,-31.0,,,67.0,,,-53.0,,,76.0
Cash from Investing Activity,IDEAFORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,-7.0,,,-31.0,,,-149.0,,,-102.0
Cash from Financing Activity,IDEAFORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,43.0,,,-11.0,,,176.0,,,189.0
Net Cash Flow,IDEAFORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.0,,,5.0,,,25.0,,,-26.0,,,164.0
Cash from Operating Activity,IDFCFIRSTB,,,,,,,,,,,,,,,,,,,,,14128.0,,,-5978.0,,,17364.0,,,10966.0,,,14042.0,,,2679.0,,,3563.0,,,11543.0
Cash from Investing Activity,IDFCFIRSTB,,,,,,,,,,,,,,,,,,,,,-4918.0,,,-1027.0,,,-494.0,,,-3790.0,,,-2833.0,,,-2960.0,,,-11996.0,,,-9887.0
Cash from Financing Activity,IDFCFIRSTB,,,,,,,,,,,,,,,,,,,,,-6974.0,,,6742.0,,,-12220.0,,,-12539.0,,,-9598.0,,,10211.0,,,6509.0,,,-2954.0
Net Cash Flow,IDFCFIRSTB,,,,,,,,,,,,,,,,,,,,,2236.0,,,-263.0,,,4649.0,,,-5363.0,,,1610.0,,,9929.0,,,-1924.0,,,-1298.0
Cash from Operating Activity,INDIGO,,,,,,,,,,,,,,,,,,,,,3782.0,,,3903.0,,,3176.0,,,6972.0,,,-1614.0,,,2091.0,,,12728.0,,,21218.0
Cash from Investing Activity,INDIGO,,,,,,,,,,,,,,,,,,,,,-3033.0,,,-4151.0,,,-2526.0,,,-4574.0,,,3179.0,,,1504.0,,,-4043.0,,,-11812.0
Cash from Financing Activity,INDIGO,,,,,,,,,,,,,,,,,,,,,-1401.0,,,766.0,,,-592.0,,,-2407.0,,,-1775.0,,,-3088.0,,,-8432.0,,,-9979.0
Net Cash Flow,INDIGO,,,,,,,,,,,,,,,,,,,,,-652.0,,,518.0,,,58.0,,,-9.0,,,-210.0,,,506.0,,,253.0,,,-573.0
Cash from Operating Activity,INDIGOPNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,,,151.0
Cash from Investing Activity,INDIGOPNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84.0,,,-142.0
Cash from Financing Activity,INDIGOPNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.0,,,-23.0
Net Cash Flow,INDIGOPNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,-14.0
Cash from Operating Activity,INFY,,,,,,,7373.0,,,9825.0,,,,8353.0,,,,10028.0,,,11531.0,,,13218.0,,,14841.0,,,17003.0,,,23224.0,,,23885.0,,,22467.0,,,25210.0
Cash from Investing Activity,INFY,,,,,,,-2922.0,,,-2563.0,,,,999.0,,,,-885.0,,,-14664.0,,,4533.0,,,-632.0,,,-331.0,,,-7373.0,,,-6485.0,,,-1071.0,,,-5093.0
Cash from Financing Activity,INFY,,,,,,,-3210.0,,,-3144.0,,,,-4935.0,,,,-6813.0,,,-6939.0,,,-20505.0,,,-14512.0,,,-17591.0,,,-9786.0,,,-24642.0,,,-26695.0,,,-17504.0
Net Cash Flow,INFY,,,,,,,1241.0,,,4118.0,,,,4417.0,,,,2330.0,,,-10072.0,,,-2754.0,,,-303.0,,,-919.0,,,6065.0,,,-7242.0,,,-5299.0,,,2613.0
Cash from Operating Activity,IRCON,,,,,,,559.0,,,-160.0,,,,502.0,,,,1441.0,,,919.0,,,-2617.0,,,-1185.0,,,-136.0,,,518.0,,,1414.0,,,-168.0,,,-79.0
Cash from Investing Activity,IRCON,,,,,,,86.0,,,14.0,,,,-521.0,,,,47.0,,,-1834.0,,,-20.0,,,616.0,,,447.0,,,-785.0,,,-1241.0,,,1472.0,,,-705.0
Cash from Financing Activity,IRCON,,,,,,,-132.0,,,-233.0,,,,-222.0,,,,-219.0,,,-222.0,,,2737.0,,,-93.0,,,-275.0,,,169.0,,,671.0,,,-223.0,,,640.0
Net Cash Flow,IRCON,,,,,,,513.0,,,-379.0,,,,-242.0,,,,1269.0,,,-1137.0,,,100.0,,,-662.0,,,36.0,,,-99.0,,,844.0,,,1080.0,,,-144.0
Cash from Operating Activity,IRCTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.0,,,882.0
Cash from Investing Activity,IRCTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-317.0,,,-200.0
Cash from Financing Activity,IRCTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-434.0,,,-404.0
Net Cash Flow,IRCTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,277.0
Cash from Operating Activity,IREDA,,,,,,,,,,,,,,,,,,,,,,,,,,,-5018.0,,,-1709.0,,,-3206.0,,,-5254.0,,,-12343.0,,,-11100.0
Cash from Investing Activity,IREDA,,,,,,,,,,,,,,,,,,,,,,,,,,,-37.0,,,0.0,,,-2.0,,,-107.0,,,-17.0,,,-23.0
Cash from Financing Activity,IREDA,,,,,,,,,,,,,,,,,,,,,,,,,,,3736.0,,,2141.0,,,2441.0,,,5271.0,,,12368.0,,,11059.0
Net Cash Flow,IREDA,,,,,,,,,,,,,,,,,,,,,,,,,,,-1319.0,,,431.0,,,-767.0,,,-90.0,,,7.0,,,-64.0
Cash from Operating Activity,ITC,,,,,,,7102.0,,,7344.0,,,,9843.0,,,,9799.0,,,10627.0,,,13169.0,,,12583.0,,,14690.0,,,12527.0,,,15776.0,,,18878.0,,,17179.0
Cash from Investing Activity,ITC,,,,,,,-3881.0,,,-3254.0,,,,-5275.0,,,,-3921.0,,,-3251.0,,,-7114.0,,,-5546.0,,,-6174.0,,,5740.0,,,-2238.0,,,-5732.0,,,1563.0
Cash from Financing Activity,ITC,,,,,,,-3310.0,,,-4122.0,,,,-4661.0,,,,-5613.0,,,-7301.0,,,-6221.0,,,-6869.0,,,-8181.0,,,-18634.0,,,-13580.0,,,-13006.0,,,-18551.0
Net Cash Flow,ITC,,,,,,,-90.0,,,-32.0,,,,-93.0,,,,266.0,,,75.0,,,-166.0,,,169.0,,,334.0,,,-367.0,,,-43.0,,,139.0,,,191.0
Cash from Operating Activity,JIOFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055.0,,,-678.0
Cash from Investing Activity,JIOFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1110.0,,,1441.0
Cash from Financing Activity,JIOFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-889.0,,,-753.0
Net Cash Flow,JIOFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,11.0
Cash from Operating Activity,JUBLFOOD,,,,,,,209.0,,,225.0,,,,276.0,,,,212.0,,,204.0,,,409.0,,,424.0,,,728.0,,,751.0,,,930.0,,,1026.0,,,1010.0
Cash from Investing Activity,JUBLFOOD,,,,,,,-191.0,,,-233.0,,,,-262.0,,,,-200.0,,,-188.0,,,-332.0,,,-457.0,,,-99.0,,,-602.0,,,-654.0,,,-595.0,,,-1374.0
Cash from Financing Activity,JUBLFOOD,,,,,,,1.0,,,1.0,,,,1.0,,,,-18.0,,,-15.0,,,-35.0,,,-17.0,,,-461.0,,,-289.0,,,-307.0,,,-426.0,,,377.0
Net Cash Flow,JUBLFOOD,,,,,,,20.0,,,-6.0,,,,15.0,,,,-6.0,,,0.0,,,42.0,,,-51.0,,,168.0,,,-140.0,,,-31.0,,,5.0,,,13.0
Cash from Operating Activity,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,,,629.0,,,264.0,,,1013.0,,,1322.0
Cash from Investing Activity,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,-217.0,,,64.0,,,-384.0,,,-137.0
Cash from Financing Activity,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-343.0,,,-208.0,,,-544.0,,,-638.0,,,-1148.0
Net Cash Flow,KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,204.0,,,-216.0,,,-8.0,,,37.0
Cash from Operating Activity,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,26.0,,,21.0,,,-42.0,,,70.0
Cash from Investing Activity,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.0,,,-24.0,,,-45.0,,,-494.0,,,-1505.0
Cash from Financing Activity,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.0,,,1.0,,,27.0,,,554.0,,,1429.0
Net Cash Flow,KAYNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,4.0,,,19.0,,,-7.0
Cash from Operating Activity,KEI,,,,,,,,,,,,,,199.0,,,,186.0,,,-29.0,,,191.0,,,623.0,,,-13.0,,,154.0,,,229.0,,,514.0,,,610.0
Cash from Investing Activity,KEI,,,,,,,,,,,,,,-17.0,,,,-98.0,,,-63.0,,,-76.0,,,-275.0,,,11.0,,,75.0,,,-58.0,,,-137.0,,,-353.0
Cash from Financing Activity,KEI,,,,,,,,,,,,,,-182.0,,,,-87.0,,,229.0,,,-69.0,,,-386.0,,,99.0,,,-129.0,,,-31.0,,,-256.0,,,-72.0
Net Cash Flow,KEI,,,,,,,,,,,,,,0.0,,,,1.0,,,137.0,,,45.0,,,-38.0,,,97.0,,,101.0,,,139.0,,,121.0,,,186.0
Cash from Operating Activity,KOTAKBANK,,,,,,,2878.0,,,9068.0,,,,2302.0,,,,5025.0,,,13222.0,,,-10392.0,,,1822.0,,,46619.0,,,4881.0,,,8308.0,,,-1242.0,,,15685.0
Cash from Investing Activity,KOTAKBANK,,,,,,,-9035.0,,,-1130.0,,,,-4467.0,,,,-2353.0,,,-5289.0,,,-5475.0,,,-3323.0,,,-13068.0,,,-11172.0,,,-10903.0,,,-10381.0,,,-8919.0
Cash from Financing Activity,KOTAKBANK,,,,,,,7099.0,,,-5814.0,,,,2426.0,,,,2024.0,,,6055.0,,,14679.0,,,8365.0,,,-735.0,,,-10072.0,,,7543.0,,,1883.0,,,15515.0
Net Cash Flow,KOTAKBANK,,,,,,,942.0,,,2125.0,,,,260.0,,,,4696.0,,,13989.0,,,-1188.0,,,6864.0,,,32815.0,,,-16363.0,,,4949.0,,,-9740.0,,,22281.0
Cash from Operating Activity,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.0,,,40.0,,,-27.0,,,102.0,,,159.0,,,-57.0
Cash from Investing Activity,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.0,,,-119.0,,,-63.0,,,-189.0,,,-309.0,,,-387.0
Cash from Financing Activity,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,87.0,,,101.0,,,91.0,,,177.0,,,562.0
Net Cash Flow,KPIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,8.0,,,11.0,,,4.0,,,27.0,,,118.0
Cash from Operating Activity,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,151.0,,,389.0,,,628.0,,,475.0,,,462.0,,,1002.0
Cash from Investing Activity,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,16.0,,,-136.0,,,-503.0,,,-292.0,,,-167.0,,,-561.0
Cash from Financing Activity,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,34.0,,,-177.0,,,-115.0,,,-127.0,,,-183.0,,,-240.0
Net Cash Flow,KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,201.0,,,75.0,,,10.0,,,56.0,,,112.0,,,201.0
Cash from Operating Activity,KSCL,,,,,,,110.0,,,193.0,,,,145.0,,,,246.0,,,218.0,,,148.0,,,128.0,,,192.0,,,252.0,,,110.0,,,297.0,,,389.0
Cash from Investing Activity,KSCL,,,,,,,-58.0,,,-162.0,,,,-84.0,,,,-202.0,,,-150.0,,,71.0,,,82.0,,,112.0,,,-217.0,,,66.0,,,-119.0,,,38.0
Cash from Financing Activity,KSCL,,,,,,,-47.0,,,-38.0,,,,-61.0,,,,-42.0,,,-56.0,,,-226.0,,,-219.0,,,-301.0,,,-29.0,,,-170.0,,,-176.0,,,-425.0
Net Cash Flow,KSCL,,,,,,,5.0,,,-8.0,,,,0.0,,,,3.0,,,11.0,,,-7.0,,,-9.0,,,3.0,,,5.0,,,7.0,,,1.0,,,3.0
Cash from Operating Activity,LALPATHLAB,,,,,,,88.0,,,98.0,,,,122.0,,,,159.0,,,171.0,,,197.0,,,219.0,,,284.0,,,398.0,,,447.0,,,456.0,,,535.0
Cash from Investing Activity,LALPATHLAB,,,,,,,-64.0,,,-89.0,,,,-113.0,,,,-163.0,,,-137.0,,,-172.0,,,-100.0,,,-26.0,,,-212.0,,,-449.0,,,-287.0,,,-24.0
Cash from Financing Activity,LALPATHLAB,,,,,,,-15.0,,,-10.0,,,,-1.0,,,,0.0,,,-32.0,,,13.0,,,-55.0,,,-190.0,,,-139.0,,,136.0,,,-283.0,,,-414.0
Net Cash Flow,LALPATHLAB,,,,,,,9.0,,,-2.0,,,,8.0,,,,-5.0,,,2.0,,,37.0,,,64.0,,,67.0,,,48.0,,,134.0,,,-114.0,,,97.0
Cash from Operating Activity,LATENTVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,63.0,,,90.0,,,87.0,,,97.0,,,115.0
Cash from Investing Activity,LATENTVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,-46.0,,,-29.0,,,-47.0,,,-435.0,,,-277.0,,,-3.0
Cash from Financing Activity,LATENTVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.0,,,-5.0,,,17.0,,,449.0,,,-4.0,,,-1.0
Net Cash Flow,LATENTVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,28.0,,,60.0,,,102.0,,,-183.0,,,111.0
Cash from Operating Activity,LT,,,,,,,-4355.0,,,-7143.0,,,,-1365.0,,,,-3240.0,,,6655.0,,,-10031.0,,,-4756.0,,,6694.0,,,23074.0,,,19164.0,,,22777.0,,,18266.0
Cash from Investing Activity,LT,,,,,,,-6922.0,,,-5510.0,,,,-4778.0,,,,-4627.0,,,-9796.0,,,3914.0,,,-11023.0,,,-8408.0,,,-5750.0,,,-3585.0,,,-8048.0,,,2179.0
Cash from Financing Activity,LT,,,,,,,11429.0,,,13136.0,,,,7903.0,,,,7253.0,,,2896.0,,,9370.0,,,15440.0,,,6372.0,,,-15274.0,,,-15181.0,,,-11572.0,,,-25413.0
Net Cash Flow,LT,,,,,,,152.0,,,483.0,,,,1759.0,,,,-613.0,,,-245.0,,,3254.0,,,-338.0,,,4658.0,,,2049.0,,,397.0,,,3156.0,,,-4968.0
Cash from Operating Activity,LTIM,,,,,,,608.0,,,628.0,,,,642.0,,,,858.0,,,1170.0,,,844.0,,,1395.0,,,1644.0,,,2400.0,,,3251.0,,,3095.0,,,5670.0
Cash from Investing Activity,LTIM,,,,,,,-224.0,,,180.0,,,,-103.0,,,,-40.0,,,-961.0,,,-452.0,,,-749.0,,,-643.0,,,-1657.0,,,-1643.0,,,-271.0,,,-3918.0
Cash from Financing Activity,LTIM,,,,,,,-396.0,,,-769.0,,,,-497.0,,,,-817.0,,,-33.0,,,-408.0,,,-594.0,,,-890.0,,,-509.0,,,-1680.0,,,-1932.0,,,-2269.0
Net Cash Flow,LTIM,,,,,,,-13.0,,,40.0,,,,42.0,,,,2.0,,,176.0,,,-16.0,,,52.0,,,110.0,,,234.0,,,-73.0,,,892.0,,,-518.0
Cash from Operating Activity,LTTS,,,,,,,,,,,,,,289.0,,,,544.0,,,388.0,,,409.0,,,806.0,,,638.0,,,1332.0,,,1006.0,,,1313.0,,,1493.0
Cash from Investing Activity,LTTS,,,,,,,,,,,,,,-667.0,,,,-176.0,,,-178.0,,,-196.0,,,-509.0,,,-222.0,,,-1005.0,,,-448.0,,,-578.0,,,-233.0
Cash from Financing Activity,LTTS,,,,,,,,,,,,,,464.0,,,,-383.0,,,-222.0,,,-132.0,,,-245.0,,,-406.0,,,-363.0,,,-498.0,,,-445.0,,,-658.0
Net Cash Flow,LTTS,,,,,,,,,,,,,,86.0,,,,-15.0,,,-12.0,,,81.0,,,52.0,,,10.0,,,-36.0,,,60.0,,,290.0,,,602.0
Cash from Operating Activity,LXCHEM,,,,,,,,,,,,,,,,,,80.0,,,150.0,,,-7.0,,,188.0,,,196.0,,,106.0,,,65.0,,,199.0,,,562.0
Cash from Investing Activity,LXCHEM,,,,,,,,,,,,,,,,,,-21.0,,,-37.0,,,-85.0,,,-123.0,,,-56.0,,,-641.0,,,76.0,,,-384.0,,,-490.0
Cash from Financing Activity,LXCHEM,,,,,,,,,,,,,,,,,,-57.0,,,-107.0,,,85.0,,,-63.0,,,-123.0,,,527.0,,,-124.0,,,232.0,,,-42.0
Net Cash Flow,LXCHEM,,,,,,,,,,,,,,,,,,1.0,,,6.0,,,-7.0,,,2.0,,,16.0,,,-7.0,,,17.0,,,47.0,,,30.0
Cash from Operating Activity,M&M,,,,,,,-922.0,,,-244.0,,,,1055.0,,,,2385.0,,,183.0,,,682.0,,,-4347.0,,,-1457.0,,,17909.0,,,9248.0,,,-7074.0,,,-5630.0
Cash from Investing Activity,M&M,,,,,,,-2903.0,,,-4524.0,,,,-4357.0,,,,-5506.0,,,-5875.0,,,-5467.0,,,-7174.0,,,-6870.0,,,-19686.0,,,-3252.0,,,-8866.0,,,-5615.0
Cash from Financing Activity,M&M,,,,,,,4508.0,,,5577.0,,,,1669.0,,,,2967.0,,,6108.0,,,6314.0,,,13194.0,,,6933.0,,,406.0,,,-5883.0,,,15946.0,,,12281.0
Net Cash Flow,M&M,,,,,,,684.0,,,810.0,,,,-1633.0,,,,-154.0,,,416.0,,,1529.0,,,1672.0,,,-1394.0,,,-1370.0,,,113.0,,,6.0,,,1037.0
Cash from Operating Activity,MANKIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070.0,,,1137.0,,,920.0,,,1813.0,,,2152.0
Cash from Investing Activity,MANKIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-436.0,,,-1222.0,,,-1369.0,,,-1052.0,,,-2081.0
Cash from Financing Activity,MANKIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-531.0,,,-8.0,,,605.0,,,-740.0,,,5.0
