Cash Flows,Stockname,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Cash from Operating Activity,SBIN,,,,,,,24332.0,,,19142.0,,,,26297.0,,,,14477.0,,,77406.0,,,-96508.0,,,29556.0,,,23929.0,,,89919.0,,,57695.0,,,-86014.0,,,21632.0
Cash from Investing Activity,SBIN,,,,,,,-2271.0,,,-791.0,,,,-3424.0,,,,-2747.0,,,-4572.0,,,13053.0,,,220.0,,,-555.0,,,-3670.0,,,-2652.0,,,-966.0,,,-3476.0
Cash from Financing Activity,SBIN,,,,,,,-4424.0,,,3583.0,,,,-1553.0,,,,4348.0,,,-4196.0,,,5547.0,,,448.0,,,5430.0,,,7143.0,,,-3845.0,,,6386.0,,,-9896.0
Net Cash Flow,SBIN,,,,,,,17637.0,,,21934.0,,,,21320.0,,,,16078.0,,,68638.0,,,-77908.0,,,30223.0,,,28803.0,,,93392.0,,,51198.0,,,-80593.0,,,8260.0
Cash from Operating Activity,SIEMENS,,1009.0,,3.0,,,,,,,,608.0,,,,574.0,,,513.0,,,573.0,,,100.0,,,1273.0,,,720.0,,,1422.0,,,978.0,,,1400.0,,
Cash from Investing Activity,SIEMENS,,-1190.0,,264.0,,,,,,,,130.0,,,,646.0,,,237.0,,,1321.0,,,-174.0,,,-1135.0,,,871.0,,,-2389.0,,,-34.0,,,-759.0,,
Cash from Financing Activity,SIEMENS,,-201.0,,-196.0,,,,,,,,-220.0,,,,-245.0,,,-1614.0,,,-285.0,,,-305.0,,,-312.0,,,-386.0,,,-502.0,,,-392.0,,,-450.0,,
Net Cash Flow,SIEMENS,,-382.0,,70.0,,,,,,,,517.0,,,,975.0,,,-864.0,,,1610.0,,,-379.0,,,-174.0,,,1205.0,,,-1469.0,,,552.0,,,191.0,,
Cash from Operating Activity,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,149.0,,,155.0,,,253.0,,,143.0,,,445.0,,,533.0,,,693.0
Cash from Investing Activity,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,-138.0,,,204.0,,,-954.0,,,-156.0,,,-352.0,,,-562.0,,,-471.0
Cash from Financing Activity,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,-13.0,,,-346.0,,,767.0,,,-67.0,,,-64.0,,,19.0,,,-175.0
Net Cash Flow,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,13.0,,,66.0,,,-80.0,,,29.0,,,-10.0,,,47.0
Cash from Operating Activity,SPICELEC,,,,,,,13.0,,,5.0,,,,6.0,,,,-7.0,,,-29.0,,,-6.0,,,4.0,,,-7.0,,,-2.0,,,-22.0,,,-3.0,,,-9.0
Cash from Investing Activity,SPICELEC,,,,,,,-3.0,,,1.0,,,,0.0,,,,1.0,,,26.0,,,7.0,,,1.0,,,1.0,,,1.0,,,21.0,,,12.0,,,9.0
Cash from Financing Activity,SPICELEC,,,,,,,-11.0,,,-7.0,,,,-6.0,,,,6.0,,,8.0,,,-6.0,,,-5.0,,,5.0,,,1.0,,,1.0,,,-8.0,,,0.0
Net Cash Flow,SPICELEC,,,,,,,-1.0,,,0.0,,,,0.0,,,,0.0,,,6.0,,,-6.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
Cash from Operating Activity,SRF,,,,,,,423.0,,,347.0,,,,542.0,,,,1090.0,,,645.0,,,678.0,,,896.0,,,1304.0,,,1772.0,,,2106.0,,,2902.0,,,2094.0
Cash from Investing Activity,SRF,,,,,,,-672.0,,,-657.0,,,,-500.0,,,,-667.0,,,-613.0,,,-1174.0,,,-1039.0,,,-1179.0,,,-1499.0,,,-1586.0,,,-2964.0,,,-2231.0
Cash from Financing Activity,SRF,,,,,,,300.0,,,205.0,,,,-18.0,,,,-182.0,,,-284.0,,,495.0,,,246.0,,,-199.0,,,-251.0,,,-207.0,,,220.0,,,-72.0
Net Cash Flow,SRF,,,,,,,50.0,,,-106.0,,,,24.0,,,,241.0,,,-252.0,,,-1.0,,,103.0,,,-73.0,,,22.0,,,312.0,,,158.0,,,-209.0
Cash from Operating Activity,SUNPHARMA,,,,,,,3357.0,,,3959.0,,,,5616.0,,,,6686.0,,,7082.0,,,3907.0,,,2196.0,,,6555.0,,,6170.0,,,8985.0,,,4959.0,,,12135.0
Cash from Investing Activity,SUNPHARMA,,,,,,,-2375.0,,,-2176.0,,,,-1502.0,,,,-3949.0,,,-4186.0,,,-3104.0,,,-310.0,,,-2225.0,,,407.0,,,-5556.0,,,-7220.0,,,-763.0
Cash from Financing Activity,SUNPHARMA,,,,,,,-665.0,,,507.0,,,,-1187.0,,,,-1889.0,,,-2285.0,,,-1539.0,,,-2731.0,,,-5715.0,,,-5980.0,,,-5193.0,,,2376.0,,,-6710.0
Net Cash Flow,SUNPHARMA,,,,,,,316.0,,,2290.0,,,,2927.0,,,,848.0,,,611.0,,,-736.0,,,-844.0,,,-1386.0,,,596.0,,,-1765.0,,,115.0,,,4662.0
Cash from Operating Activity,TATACONSUM,,,,,,,173.0,,,422.0,,,,418.0,,,,116.0,,,741.0,,,356.0,,,210.0,,,1082.0,,,1656.0,,,1516.0,,,1461.0,,,1937.0
Cash from Investing Activity,TATACONSUM,,,,,,,24.0,,,-1.0,,,,-207.0,,,,145.0,,,145.0,,,-31.0,,,53.0,,,-622.0,,,-346.0,,,-1317.0,,,-834.0,,,-1911.0
Cash from Financing Activity,TATACONSUM,,,,,,,186.0,,,-363.0,,,,-392.0,,,,-282.0,,,-816.0,,,-30.0,,,-224.0,,,-308.0,,,-426.0,,,-995.0,,,-714.0,,,256.0
Net Cash Flow,TATACONSUM,,,,,,,383.0,,,57.0,,,,-182.0,,,,-21.0,,,70.0,,,294.0,,,39.0,,,152.0,,,884.0,,,-796.0,,,-87.0,,,281.0
Cash from Operating Activity,TATAELXSI,,,,,,,37.0,,,126.0,,,,143.0,,,,121.0,,,144.0,,,197.0,,,215.0,,,256.0,,,437.0,,,483.0,,,487.0,,,701.0
Cash from Investing Activity,TATAELXSI,,,,,,,-29.0,,,-18.0,,,,-29.0,,,,-31.0,,,28.0,,,-245.0,,,-162.0,,,43.0,,,-439.0,,,-106.0,,,-201.0,,,-274.0
Cash from Financing Activity,TATAELXSI,,,,,,,-11.0,,,-79.0,,,,-32.0,,,,-41.0,,,-52.0,,,-60.0,,,-83.0,,,-124.0,,,-126.0,,,-326.0,,,-303.0,,,-428.0
Net Cash Flow,TATAELXSI,,,,,,,-3.0,,,29.0,,,,83.0,,,,49.0,,,120.0,,,-108.0,,,-30.0,,,175.0,,,-128.0,,,51.0,,,-17.0,,,-1.0
Cash from Operating Activity,TATAINVEST,,,,,,,104.0,,,84.0,,,,92.0,,,,90.0,,,68.0,,,67.0,,,92.0,,,117.0,,,86.0,,,122.0,,,230.0,,,235.0
Cash from Investing Activity,TATAINVEST,,,,,,,-70.0,,,-45.0,,,,18.0,,,,146.0,,,-78.0,,,41.0,,,496.0,,,12.0,,,3.0,,,4.0,,,-189.0,,,366.0
Cash from Financing Activity,TATAINVEST,,,,,,,-135.0,,,-103.0,,,,-110.0,,,,-225.0,,,-1.0,,,-119.0,,,-584.0,,,-123.0,,,-95.0,,,-122.0,,,-47.0,,,-495.0
Net Cash Flow,TATAINVEST,,,,,,,-101.0,,,-64.0,,,,1.0,,,,11.0,,,-11.0,,,-12.0,,,4.0,,,7.0,,,-6.0,,,4.0,,,-6.0,,,106.0
Cash from Operating Activity,TATAMOTORS,,,,,,,22163.0,,,36151.0,,,,35531.0,,,,37900.0,,,30199.0,,,23857.0,,,18891.0,,,26633.0,,,29001.0,,,14283.0,,,35388.0,,,67915.0
Cash from Investing Activity,TATAMOTORS,,,,,,,-22969.0,,,-27991.0,,,,-36232.0,,,,-36694.0,,,-39571.0,,,-25139.0,,,-20878.0,,,-33115.0,,,-25672.0,,,-4444.0,,,-15417.0,,,-22782.0
Cash from Financing Activity,TATAMOTORS,,,,,,,-1692.0,,,-3883.0,,,,5201.0,,,,-3795.0,,,6205.0,,,2012.0,,,8830.0,,,3390.0,,,9904.0,,,-3380.0,,,-26243.0,,,-37006.0
Net Cash Flow,TATAMOTORS,,,,,,,-2499.0,,,4277.0,,,,4500.0,,,,-2589.0,,,-3167.0,,,730.0,,,6843.0,,,-3092.0,,,13232.0,,,6459.0,,,-6272.0,,,8128.0
Cash from Operating Activity,TATAPOWER,,,,,,,3286.0,,,6483.0,,,,5981.0,,,,7415.0,,,7014.0,,,6364.0,,,4574.0,,,7375.0,,,8345.0,,,6693.0,,,7166.0,,,12596.0
Cash from Investing Activity,TATAPOWER,,,,,,,-4026.0,,,-3609.0,,,,-3865.0,,,,-1805.0,,,-7373.0,,,-1512.0,,,-272.0,,,-493.0,,,993.0,,,-6250.0,,,-7263.0,,,-9027.0
Cash from Financing Activity,TATAPOWER,,,,,,,-593.0,,,-3265.0,,,,-2239.0,,,,-6183.0,,,937.0,,,-4726.0,,,-5184.0,,,-5110.0,,,-7603.0,,,-1183.0,,,1341.0,,,-4497.0
Net Cash Flow,TATAPOWER,,,,,,,-1333.0,,,-392.0,,,,-123.0,,,,-574.0,,,579.0,,,126.0,,,-883.0,,,1773.0,,,1736.0,,,-741.0,,,1243.0,,,-928.0
Cash from Operating Activity,TATATECH,,,,,,,,,,,,,,,,,,,,,,,,,,,369.0,,,267.0,,,1113.0,,,-39.0,,,401.0,,,294.0
Cash from Investing Activity,TATATECH,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.0,,,-3.0,,,-664.0,,,70.0,,,-440.0,,,400.0
Cash from Financing Activity,TATATECH,,,,,,,,,,,,,,,,,,,,,,,,,,,-221.0,,,-261.0,,,-44.0,,,-44.0,,,-347.0,,,-557.0
Net Cash Flow,TATATECH,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,,,4.0,,,405.0,,,-13.0,,,-385.0,,,137.0
Cash from Operating Activity,TCS,,,,,,,11615.0,,,14751.0,,,,19369.0,,,,19109.0,,,25223.0,,,25067.0,,,28593.0,,,32369.0,,,38802.0,,,39949.0,,,41965.0,,,44338.0
Cash from Investing Activity,TCS,,,,,,,-6038.0,,,-9452.0,,,,-1807.0,,,,-5010.0,,,-16895.0,,,3104.0,,,1645.0,,,8968.0,,,-7956.0,,,-738.0,,,548.0,,,6091.0
Cash from Financing Activity,TCS,,,,,,,-5729.0,,,-5673.0,,,,-17168.0,,,,-9666.0,,,-11026.0,,,-26885.0,,,-27897.0,,,-39915.0,,,-32634.0,,,-33581.0,,,-47878.0,,,-48536.0
Net Cash Flow,TCS,,,,,,,-152.0,,,-374.0,,,,394.0,,,,4433.0,,,-2698.0,,,1286.0,,,2341.0,,,1422.0,,,-1788.0,,,5630.0,,,-5365.0,,,1893.0
Cash from Operating Activity,TECHM,,,,,,,855.0,,,1596.0,,,,2448.0,,,,3137.0,,,4071.0,,,3554.0,,,4432.0,,,4358.0,,,8094.0,,,5285.0,,,5572.0,,,6376.0
Cash from Investing Activity,TECHM,,,,,,,-622.0,,,291.0,,,,-1865.0,,,,-1453.0,,,-2893.0,,,-3319.0,,,-2104.0,,,1081.0,,,-5433.0,,,480.0,,,-226.0,,,-1318.0
Cash from Financing Activity,TECHM,,,,,,,65.0,,,-972.0,,,,-829.0,,,,-496.0,,,-1571.0,,,-269.0,,,-2251.0,,,-4466.0,,,-2987.0,,,-4667.0,,,-5078.0,,,-4767.0
Net Cash Flow,TECHM,,,,,,,298.0,,,915.0,,,,-246.0,,,,1188.0,,,-392.0,,,-35.0,,,77.0,,,974.0,,,-326.0,,,1098.0,,,267.0,,,291.0
Cash from Operating Activity,TIINDIA,,,,,,,,,,,,,,,,,,0.0,,,383.0,,,409.0,,,493.0,,,596.0,,,268.0,,,896.0,,,1386.0,,,675.0
Cash from Investing Activity,TIINDIA,,,,,,,,,,,,,,,,,,0.0,,,316.0,,,-181.0,,,-196.0,,,-246.0,,,-63.0,,,-79.0,,,-850.0,,,-1657.0
Cash from Financing Activity,TIINDIA,,,,,,,,,,,,,,,,,,0.0,,,-685.0,,,-291.0,,,-280.0,,,-284.0,,,286.0,,,-921.0,,,-75.0,,,645.0
Net Cash Flow,TIINDIA,,,,,,,,,,,,,,,,,,0.0,,,14.0,,,-63.0,,,17.0,,,66.0,,,491.0,,,-104.0,,,461.0,,,-336.0
Cash from Operating Activity,TITAGARH,,,,,,,-40.0,,,68.0,,,,102.0,,,,-154.0,,,-177.0,,,-121.0,,,-124.0,,,154.0,,,68.0,,,55.0,,,41.0,,,86.0
Cash from Investing Activity,TITAGARH,,,,,,,41.0,,,-34.0,,,,-25.0,,,,-50.0,,,44.0,,,-45.0,,,-49.0,,,4.0,,,-60.0,,,-73.0,,,-61.0,,,-537.0
Cash from Financing Activity,TITAGARH,,,,,,,-36.0,,,-17.0,,,,-69.0,,,,216.0,,,111.0,,,191.0,,,214.0,,,-227.0,,,43.0,,,-53.0,,,67.0,,,724.0
Net Cash Flow,TITAGARH,,,,,,,-34.0,,,18.0,,,,8.0,,,,11.0,,,-22.0,,,25.0,,,40.0,,,-70.0,,,51.0,,,-71.0,,,46.0,,,274.0
Cash from Operating Activity,TITAN,,,,,,,553.0,,,-555.0,,,,503.0,,,,576.0,,,1712.0,,,-51.0,,,1243.0,,,-348.0,,,4139.0,,,-724.0,,,1370.0,,,1695.0
Cash from Investing Activity,TITAN,,,,,,,-142.0,,,-271.0,,,,-118.0,,,,-159.0,,,-953.0,,,98.0,,,-797.0,,,235.0,,,-2799.0,,,1165.0,,,-1814.0,,,-189.0
Cash from Financing Activity,TITAN,,,,,,,-236.0,,,497.0,,,,-1005.0,,,,-505.0,,,-166.0,,,-252.0,,,-489.0,,,-242.0,,,-1234.0,,,-403.0,,,457.0,,,-1329.0
Net Cash Flow,TITAN,,,,,,,176.0,,,-329.0,,,,-620.0,,,,-88.0,,,594.0,,,-206.0,,,-43.0,,,-355.0,,,106.0,,,38.0,,,13.0,,,177.0
Cash from Operating Activity,TORNTPHARM,,,,,,,153.0,,,599.0,,,,810.0,,,,2742.0,,,1009.0,,,894.0,,,1798.0,,,1393.0,,,2005.0,,,1803.0,,,2368.0,,,3266.0
Cash from Investing Activity,TORNTPHARM,,,,,,,-247.0,,,-418.0,,,,-2113.0,,,,-869.0,,,-798.0,,,-4677.0,,,-246.0,,,229.0,,,-444.0,,,-196.0,,,-2335.0,,,-160.0
Cash from Financing Activity,TORNTPHARM,,,,,,,20.0,,,86.0,,,,1212.0,,,,-1435.0,,,-193.0,,,3417.0,,,-1314.0,,,-1549.0,,,-1651.0,,,-1781.0,,,77.0,,,-2780.0
Net Cash Flow,TORNTPHARM,,,,,,,-73.0,,,268.0,,,,-90.0,,,,437.0,,,18.0,,,-366.0,,,238.0,,,73.0,,,-89.0,,,-174.0,,,110.0,,,327.0
Cash from Operating Activity,TRENT,,,,,,,31.0,,,-46.0,,,,-10.0,,,,109.0,,,102.0,,,77.0,,,21.0,,,361.0,,,285.0,,,58.0,,,595.0,,,1349.0
Cash from Investing Activity,TRENT,,,,,,,-276.0,,,-48.0,,,,-306.0,,,,-98.0,,,-44.0,,,-4.0,,,-37.0,,,-809.0,,,18.0,,,56.0,,,-103.0,,,-508.0
Cash from Financing Activity,TRENT,,,,,,,147.0,,,-50.0,,,,310.0,,,,-13.0,,,-51.0,,,-74.0,,,37.0,,,452.0,,,-283.0,,,-108.0,,,-491.0,,,-629.0
Net Cash Flow,TRENT,,,,,,,-97.0,,,-145.0,,,,-6.0,,,,-2.0,,,7.0,,,-1.0,,,21.0,,,5.0,,,20.0,,,6.0,,,1.0,,,211.0
Cash from Operating Activity,TVSMOTOR,,,,,,,464.0,,,470.0,,,,83.0,,,,936.0,,,689.0,,,354.0,,,-918.0,,,373.0,,,1151.0,,,-1575.0,,,-4405.0,,,-1253.0
Cash from Investing Activity,TVSMOTOR,,,,,,,-120.0,,,-235.0,,,,-415.0,,,,-605.0,,,-709.0,,,-1095.0,,,-1104.0,,,-1090.0,,,-882.0,,,-1471.0,,,-1308.0,,,-1001.0
Cash from Financing Activity,TVSMOTOR,,,,,,,-402.0,,,-216.0,,,,261.0,,,,-319.0,,,-59.0,,,897.0,,,2210.0,,,1619.0,,,264.0,,,2918.0,,,6118.0,,,2759.0
Net Cash Flow,TVSMOTOR,,,,,,,-58.0,,,19.0,,,,-71.0,,,,12.0,,,-79.0,,,156.0,,,188.0,,,902.0,,,532.0,,,-128.0,,,406.0,,,505.0
Cash from Operating Activity,UBL,,,,,,,152.0,,,290.0,,,,841.0,,,,539.0,,,544.0,,,563.0,,,643.0,,,508.0,,,620.0,,,900.0,,,-120.0,,,70.0
Cash from Investing Activity,UBL,,,,,,,-428.0,,,-158.0,,,,-329.0,,,,-245.0,,,-234.0,,,-197.0,,,-430.0,,,-402.0,,,-152.0,,,-160.0,,,-121.0,,,-148.0
Cash from Financing Activity,UBL,,,,,,,211.0,,,-172.0,,,,-572.0,,,,-297.0,,,-301.0,,,-364.0,,,-196.0,,,-95.0,,,-88.0,,,-287.0,,,-292.0,,,-122.0
Net Cash Flow,UBL,,,,,,,-64.0,,,-40.0,,,,-60.0,,,,-3.0,,,9.0,,,3.0,,,17.0,,,10.0,,,380.0,,,453.0,,,-533.0,,,-201.0
Cash from Operating Activity,UNITDSPR,,,,,,,1969.0,,,-552.0,,,,-196.0,,,,283.0,,,647.0,,,925.0,,,948.0,,,783.0,,,1818.0,,,977.0,,,615.0,,,1118.0
Cash from Investing Activity,UNITDSPR,,,,,,,-1121.0,,,-252.0,,,,3855.0,,,,733.0,,,-227.0,,,104.0,,,-66.0,,,-194.0,,,-99.0,,,-313.0,,,-55.0,,,226.0
Cash from Financing Activity,UNITDSPR,,,,,,,-992.0,,,1235.0,,,,-4002.0,,,,-1155.0,,,-475.0,,,-966.0,,,-808.0,,,-740.0,,,-1707.0,,,-688.0,,,-500.0,,,-407.0
Net Cash Flow,UNITDSPR,,,,,,,-145.0,,,431.0,,,,-343.0,,,,-139.0,,,-56.0,,,63.0,,,74.0,,,-150.0,,,12.0,,,-23.0,,,60.0,,,937.0
Cash from Operating Activity,UNOMINDA,,,,,,,95.0,,,42.0,,,,135.0,,,,146.0,,,335.0,,,364.0,,,414.0,,,1049.0,,,343.0,,,383.0,,,803.0,,,979.0
Cash from Investing Activity,UNOMINDA,,,,,,,-118.0,,,-137.0,,,,-39.0,,,,-257.0,,,-267.0,,,-640.0,,,-815.0,,,-810.0,,,-361.0,,,-697.0,,,-1185.0,,,-951.0
Cash from Financing Activity,UNOMINDA,,,,,,,-5.0,,,80.0,,,,-98.0,,,,123.0,,,253.0,,,44.0,,,368.0,,,-96.0,,,-40.0,,,311.0,,,301.0,,,90.0
Net Cash Flow,UNOMINDA,,,,,,,-28.0,,,-15.0,,,,-2.0,,,,13.0,,,320.0,,,-232.0,,,-33.0,,,143.0,,,-58.0,,,-3.0,,,-81.0,,,119.0
Cash from Operating Activity,VBL,,,,,,280.0,,,297.0,,,,431.0,,,,555.0,,,826.0,,,620.0,,,1000.0,,,1308.0,,,1012.0,,,1231.0,,,1790.0,,,2391.0,
Cash from Investing Activity,VBL,,,,,,-507.0,,,-574.0,,,,-500.0,,,,-300.0,,,-1048.0,,,-746.0,,,-937.0,,,-2320.0,,,-472.0,,,-1008.0,,,-1769.0,,,-3288.0,
Cash from Financing Activity,VBL,,,,,,229.0,,,274.0,,,,58.0,,,,-236.0,,,230.0,,,159.0,,,-84.0,,,1107.0,,,-574.0,,,-178.0,,,-18.0,,,985.0,
Net Cash Flow,VBL,,,,,,3.0,,,-2.0,,,,-11.0,,,,19.0,,,8.0,,,32.0,,,-22.0,,,95.0,,,-33.0,,,46.0,,,4.0,,,88.0,
Cash from Operating Activity,VINATIORGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.0,,,219.0,,,127.0,,,577.0,,,332.0
Cash from Investing Activity,VINATIORGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-197.0,,,-198.0,,,-255.0,,,-367.0,,,-348.0
Cash from Financing Activity,VINATIORGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-109.0,,,-3.0,,,-47.0,,,-86.0,,,-108.0
Net Cash Flow,VINATIORGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,,,18.0,,,-175.0,,,124.0,,,-125.0
Cash from Operating Activity,MANYAVAR,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,177.0,,,243.0,,,253.0,,,351.0,,,470.0,,,483.0
Cash from Investing Activity,MANYAVAR,,,,,,,,,,,,,,,,,,,,,,,,-279.0,,,-163.0,,,-96.0,,,-88.0,,,56.0,,,-232.0,,,-110.0
Cash from Financing Activity,MANYAVAR,,,,,,,,,,,,,,,,,,,,,,,,224.0,,,-13.0,,,-141.0,,,-166.0,,,-410.0,,,-232.0,,,-362.0
Net Cash Flow,MANYAVAR,,,,,,,,,,,,,,,,,,,,,,,,-3.0,,,1.0,,,7.0,,,-2.0,,,-3.0,,,6.0,,,12.0
Cash from Operating Activity,VOLTAS,,,,,,,84.0,,,295.0,,,,311.0,,,,219.0,,,428.0,,,325.0,,,-321.0,,,462.0,,,556.0,,,584.0,,,159.0,,,762.0
Cash from Investing Activity,VOLTAS,,,,,,,65.0,,,-285.0,,,,-104.0,,,,-315.0,,,-73.0,,,-199.0,,,393.0,,,-210.0,,,-256.0,,,-365.0,,,-82.0,,,-522.0
Cash from Financing Activity,VOLTAS,,,,,,,-60.0,,,-79.0,,,,-236.0,,,,48.0,,,-211.0,,,-181.0,,,-18.0,,,-294.0,,,-122.0,,,-107.0,,,55.0,,,-116.0
Net Cash Flow,VOLTAS,,,,,,,89.0,,,-68.0,,,,-29.0,,,,-47.0,,,143.0,,,-55.0,,,53.0,,,-42.0,,,179.0,,,113.0,,,133.0,,,123.0
Cash from Operating Activity,WESTLIFE,,,,,,,70.0,,,38.0,,,,19.0,,,,80.0,,,66.0,,,137.0,,,112.0,,,200.0,,,129.0,,,171.0,,,349.0,,,340.0
Cash from Investing Activity,WESTLIFE,,,,,,,-120.0,,,-272.0,,,,-84.0,,,,-80.0,,,-91.0,,,-111.0,,,-145.0,,,-68.0,,,-74.0,,,-56.0,,,-265.0,,,-185.0
Cash from Financing Activity,WESTLIFE,,,,,,,55.0,,,222.0,,,,61.0,,,,0.0,,,26.0,,,-22.0,,,32.0,,,-139.0,,,-45.0,,,-102.0,,,-98.0,,,-149.0
Net Cash Flow,WESTLIFE,,,,,,,5.0,,,-13.0,,,,-5.0,,,,-1.0,,,0.0,,,4.0,,,-1.0,,,-7.0,,,10.0,,,12.0,,,-15.0,,,6.0
Cash from Operating Activity,WIPRO,,,,,,,6394.0,,,6790.0,,,,7840.0,,,,7887.0,,,9277.0,,,8423.0,,,11632.0,,,10064.0,,,14755.0,,,11080.0,,,13060.0,,,17622.0
Cash from Investing Activity,WIPRO,,,,,,,-4536.0,,,-284.0,,,,-2537.0,,,,-13761.0,,,-11770.0,,,3595.0,,,5065.0,,,3593.0,,,685.0,,,-22321.0,,,-8169.0,,,1144.0
Cash from Financing Activity,WIPRO,,,,,,,-1140.0,,,-3570.0,,,,-830.0,,,,-159.0,,,-2275.0,,,-12998.0,,,-4937.0,,,-15100.0,,,-12884.0,,,4659.0,,,-6088.0,,,-18257.0
Net Cash Flow,WIPRO,,,,,,,717.0,,,2936.0,,,,4474.0,,,,-6032.0,,,-4767.0,,,-979.0,,,11760.0,,,-1442.0,,,2556.0,,,-6583.0,,,-1197.0,,,509.0
Cash from Operating Activity,YASHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,16.0,,,13.0,,,90.0
Cash from Investing Activity,YASHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.0,,,-59.0,,,-134.0,,,-304.0
Cash from Financing Activity,YASHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0,,,43.0,,,122.0,,,214.0
Net Cash Flow,YASHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0
Cash from Operating Activity,ZENTEC,,,,,-2.0,,39.0,,,10.0,,,,-20.0,,,,0.0,,,0.0,,,,,,-49.0,,,62.0,,,6.0,,,-44.0,,,116.0,,,13.0
Cash from Investing Activity,ZENTEC,,,,,-1.0,,-3.0,,,-8.0,,,,-4.0,,,,0.0,,,0.0,,,,,,13.0,,,-12.0,,,-10.0,,,-44.0,,,-4.0,,,-85.0
Cash from Financing Activity,ZENTEC,,,,,7.0,,-20.0,,,-7.0,,,,20.0,,,,0.0,,,0.0,,,,,,5.0,,,-12.0,,,9.0,,,88.0,,,-22.0,,,-3.0
Net Cash Flow,ZENTEC,,,,,5.0,,15.0,,,-5.0,,,,-4.0,,,,0.0,,,0.0,,,,,,-32.0,,,38.0,,,5.0,,,0.0,,,91.0,,,-75.0
