Ratios,Stockname,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Debtor Days,MARICO,,,,,,,16,,,17,,,,11,,,,15,,,15,,,20,,,26,,,27,,,18,,,25,,,38,,,40
Inventory Days,MARICO,,,,,,,173,,,151,,,,139,,,,110,,,193,,,190,,,147,,,157,,,108,,,106,,,94,,,116
Days Payable,MARICO,,,,,,,96,,,95,,,,79,,,,80,,,107,,,103,,,98,,,108,,,109,,,101,,,112,,,137
Cash Conversion Cycle,MARICO,,,,,,,93,,,73,,,,71,,,,46,,,101,,,106,,,74,,,76,,,17,,,30,,,20,,,19
Working Capital Days,MARICO,,,,,,,26,,,9,,,,29,,,,10,,,38,,,54,,,43,,,41,,,6,,,20,,,21,,,30
ROCE %,MARICO,,,,,,,24%,,,29%,,,,38%,,,,44%,,,45%,,,42%,,,42%,,,43%,,,43%,,,43%,,,42%,,,43%
Debtor Days,MARUTI,,,,,,,13,,,12,,,,8,,,,8,,,6,,,7,,,10,,,10,,,7,,,8,,,10,,,12
Inventory Days,MARUTI,,,,,,,21,,,20,,,,28,,,,30,,,25,,,21,,,20,,,22,,,22,,,20,,,23,,,19
Days Payable,MARUTI,,,,,,,47,,,57,,,,57,,,,70,,,65,,,70,,,59,,,51,,,73,,,54,,,58,,,62
Cash Conversion Cycle,MARUTI,,,,,,,-14,,,-25,,,,-20,,,,-32,,,-33,,,-42,,,-29,,,-20,,,-44,,,-26,,,-25,,,-31
Working Capital Days,MARUTI,,,,,,,-7,,,-18,,,,-26,,,,-27,,,-33,,,-40,,,-29,,,-19,,,-47,,,-29,,,-27,,,-26
ROCE %,MARUTI,,,,,,,15%,,,16%,,,,19%,,,,23%,,,24%,,,24%,,,19%,,,9%,,,11%,,,6%,,,16%,,,22%
Debtor Days,MAZDOCK,,,,,,,,,,,,,,76.0,,,,82,,,78,,,91,,,117,,,107,,,87,,,64,,,47,,,71
Inventory Days,MAZDOCK,,,,,,,,,,,,,,3239.0,,,,622,,,782,,,559,,,533,,,688,,,1142,,,1044,,,605,,,410
Days Payable,MAZDOCK,,,,,,,,,,,,,,124.0,,,,160,,,174,,,353,,,410,,,704,,,1234,,,836,,,366,,,321
Cash Conversion Cycle,MAZDOCK,,,,,,,,,,,,,,3191.0,,,,544,,,685,,,297,,,240,,,91,,,-4,,,272,,,285,,,161
Working Capital Days,MAZDOCK,,,,,,,,,,,,,,-576.0,,,,-575,,,-608,,,-431,,,-444,,,-311,,,-606,,,-645,,,-528,,,-426
ROCE %,MAZDOCK,,,,,,,,,,,,,,,,,,34%,,,30%,,,23%,,,27%,,,24%,,,23%,,,21%,,,33%,,,44%
Debtor Days,METROBRAND,,,,,,,,,,1.0,,,,1,,,,1,,,2,,,2,,,3,,,2,,,10,,,6,,,4,,,6
Inventory Days,METROBRAND,,,,,,,,,,196.0,,,,215,,,,219,,,219,,,207,,,234,,,221,,,295,,,278,,,253,,,266
Days Payable,METROBRAND,,,,,,,,,,77.0,,,,85,,,,77,,,86,,,104,,,127,,,107,,,210,,,140,,,113,,,96
Cash Conversion Cycle,METROBRAND,,,,,,,,,,120.0,,,,131,,,,144,,,134,,,105,,,110,,,117,,,95,,,144,,,143,,,176
Working Capital Days,METROBRAND,,,,,,,,,,54.0,,,,73,,,,70,,,57,,,47,,,56,,,57,,,48,,,59,,,59,,,186
ROCE %,METROBRAND,,,,,,,,,,,,,,40%,,,,35%,,,32%,,,40%,,,37%,,,25%,,,10%,,,20%,,,25%,,,20%
Debtor Days,MOLDTECH,,,,,,,84,,,88,,,,96,,,,107,,,93,,,86,,,80,,,72,,,72,,,81,,,82,,,70
Inventory Days,MOLDTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,MOLDTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,MOLDTECH,,,,,,,84,,,88,,,,96,,,,107,,,93,,,86,,,80,,,72,,,72,,,81,,,82,,,70
Working Capital Days,MOLDTECH,,,,,,,64,,,72,,,,79,,,,116,,,99,,,101,,,120,,,103,,,119,,,107,,,72,,,69
ROCE %,MOLDTECH,,,,,,,12%,,,15%,,,,30%,,,,21%,,,20%,,,17%,,,36%,,,27%,,,24%,,,26%,,,42%,,,31%
Debtor Days,MOLDTKPAC,,,,,,,68,,,63,,,,59,,,,75,,,74,,,89,,,62,,,48,,,69,,,83,,,62,,,71
Inventory Days,MOLDTKPAC,,,,,,,83,,,73,,,,64,,,,65,,,87,,,115,,,82,,,89,,,113,,,108,,,83,,,95
Days Payable,MOLDTKPAC,,,,,,,40,,,45,,,,23,,,,39,,,35,,,40,,,33,,,32,,,51,,,36,,,33,,,31
Cash Conversion Cycle,MOLDTKPAC,,,,,,,112,,,91,,,,99,,,,101,,,126,,,163,,,110,,,106,,,130,,,155,,,112,,,135
Working Capital Days,MOLDTKPAC,,,,,,,76,,,64,,,,71,,,,86,,,90,,,124,,,73,,,69,,,86,,,116,,,84,,,108
ROCE %,MOLDTKPAC,,,,,,,14%,,,19%,,,,25%,,,,26%,,,24%,,,23%,,,21%,,,21%,,,23%,,,23%,,,20%,,,14%
Debtor Days,MOTHERSON,,,,,,,42,,,39,,,,32,,,,46,,,40,,,36,,,35,,,31,,,36,,,38,,,39,,,58
Inventory Days,MOTHERSON,,,,,,,58,,,62,,,,63,,,,37,,,44,,,43,,,46,,,54,,,56,,,64,,,63,,,61
Days Payable,MOTHERSON,,,,,,,70,,,77,,,,82,,,,84,,,103,,,96,,,106,,,108,,,125,,,113,,,114,,,152
Cash Conversion Cycle,MOTHERSON,,,,,,,30,,,24,,,,13,,,,-1,,,-20,,,-17,,,-24,,,-23,,,-33,,,-11,,,-11,,,-33
Working Capital Days,MOTHERSON,,,,,,,9,,,1,,,,-1,,,,4,,,4,,,6,,,2,,,-7,,,-9,,,-0,,,2,,,-2
ROCE %,MOTHERSON,,,,,,,15%,,,23%,,,,25%,,,,24%,,,21%,,,18%,,,15%,,,10%,,,7%,,,6%,,,9%,,,14%
Debtor Days,MTARTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,,,114,,,154,,,133,,,92
Inventory Days,MTARTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.0,,,467,,,535,,,524,,,420
Days Payable,MTARTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,,,158,,,179,,,296,,,86
Cash Conversion Cycle,MTARTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0,,,423,,,510,,,361,,,426
Working Capital Days,MTARTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,,,190,,,270,,,230,,,251
ROCE %,MTARTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19%,,,16%,,,22%,,,12%
Debtor Days,MUFTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.0,,,132,,,101,,,137
Inventory Days,MUFTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.0,,,163,,,195,,,189
Days Payable,MUFTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,,,91,,,73,,,45
Cash Conversion Cycle,MUFTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,,,204,,,223,,,281
Working Capital Days,MUFTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,,,160,,,159,,,189
ROCE %,MUFTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17%,,,28%,,,19%
ROE %,MUTHOOTFIN,,,,,,,,,,,,,,,,,,15%,,,20%,,,25%,,,23%,,,29%,,,28%,,,23%,,,18%,,,18%
Debtor Days,NAUKRI,,,,,,,7,,,6,,,,12,,,,6,,,4,,,2,,,2,,,3,,,2,,,7,,,2,,,2
Inventory Days,NAUKRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,NAUKRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,NAUKRI,,,,,,,7,,,6,,,,12,,,,6,,,4,,,2,,,2,,,3,,,2,,,7,,,2,,,2
Working Capital Days,NAUKRI,,,,,,,-136,,,-138,,,,-151,,,,242,,,185,,,-27,,,218,,,33,,,588,,,355,,,162,,,137
ROCE %,NAUKRI,,,,,,,25%,,,16%,,,,2%,,,,12%,,,3%,,,15%,,,4%,,,-13%,,,4%,,,23%,,,3%,,,4%
Debtor Days,NAVINFLUOR,,,,,,,49,,,68,,,,74,,,,81,,,68,,,62,,,63,,,75,,,88,,,90,,,99,,,91
Inventory Days,NAVINFLUOR,,,,,,,107,,,105,,,,96,,,,89,,,136,,,110,,,91,,,127,,,129,,,149,,,197,,,150
Days Payable,NAVINFLUOR,,,,,,,70,,,97,,,,113,,,,112,,,94,,,92,,,58,,,79,,,77,,,85,,,103,,,122
Cash Conversion Cycle,NAVINFLUOR,,,,,,,86,,,75,,,,57,,,,57,,,110,,,80,,,96,,,123,,,140,,,154,,,193,,,119
Working Capital Days,NAVINFLUOR,,,,,,,61,,,67,,,,60,,,,55,,,7,,,47,,,60,,,88,,,116,,,112,,,158,,,90
ROCE %,NAVINFLUOR,,,,,,,13%,,,11%,,,,11%,,,,17%,,,22%,,,29%,,,21%,,,21%,,,22%,,,19%,,,20%,,,10%
Debtor Days,NAZARA,,,,,,,,,,,,,,,,,,58.0,,,50,,,91,,,96,,,100,,,55,,,50,,,51,,,88
Inventory Days,NAZARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Days Payable,NAZARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092
Cash Conversion Cycle,NAZARA,,,,,,,,,,,,,,,,,,58.0,,,50,,,91,,,96,,,100,,,55,,,50,,,51,,,-994
Working Capital Days,NAZARA,,,,,,,,,,,,,,,,,,33.0,,,42,,,83,,,104,,,21,,,-8,,,8,,,33,,,103
ROCE %,NAZARA,,,,,,,,,,,,,,,,,,,,,36%,,,16%,,,3%,,,-4%,,,2%,,,7%,,,7%,,,6%
Debtor Days,NEOGEN,,,,,,,,,,82.0,,,,78,,,,58,,,107,,,94,,,93,,,90,,,85,,,82,,,94,,,149
Inventory Days,NEOGEN,,,,,,,,,,173.0,,,,178,,,,190,,,228,,,192,,,188,,,257,,,211,,,258,,,275,,,365
Days Payable,NEOGEN,,,,,,,,,,117.0,,,,120,,,,130,,,177,,,141,,,111,,,71,,,122,,,131,,,147,,,138
Cash Conversion Cycle,NEOGEN,,,,,,,,,,138.0,,,,136,,,,117,,,158,,,145,,,169,,,276,,,174,,,209,,,223,,,376
Working Capital Days,NEOGEN,,,,,,,,,,140.0,,,,140,,,,126,,,174,,,142,,,162,,,217,,,164,,,190,,,205,,,272
ROCE %,NEOGEN,,,,,,,,,,,,,,27%,,,,26%,,,23%,,,23%,,,26%,,,22%,,,17%,,,14%,,,13%,,,9%
Debtor Days,NESTLEIND,,,,,,,,,3,,,,4,,,,4,,,4,,,3,,,4,,,4,,,5,,,4,,,4,,,4,4
Inventory Days,NESTLEIND,,,,,,,,,79,,,,82,,,,103,,,107,,,91,,,92,,,107,,,107,,,111,,,110,,,83,83
Days Payable,NESTLEIND,,,,,,,,,68,,,,71,,,,94,,,91,,,99,,,118,,,124,,,115,,,122,,,121,,,92,112
Cash Conversion Cycle,NESTLEIND,,,,,,,,,14,,,,15,,,,12,,,20,,,-5,,,-22,,,-14,,,-3,,,-7,,,-7,,,-5,-24
Working Capital Days,NESTLEIND,,,,,,,,,-17,,,,-13,,,,-21,,,-10,,,-15,,,-21,,,-19,,,-21,,,-19,,,-15,,,-9,-18
ROCE %,NESTLEIND,,,,,,,,,53%,,,,56%,,,,46%,,,54%,,,57%,,,71%,,,96%,,,139%,,,150%,,,138%,,,153%,169%
Debtor Days,NETWEB,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,41,,,143,,,115,,,124,,,93
Inventory Days,NETWEB,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,32,,,100,,,75,,,61,,,77
Days Payable,NETWEB,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,46,,,146,,,104,,,116,,,85
Cash Conversion Cycle,NETWEB,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,28,,,97,,,86,,,69,,,85
Working Capital Days,NETWEB,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,35,,,94,,,87,,,73,,,82
ROCE %,NETWEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31%,,,36%,,,52%,,,64%,,,38%
Debtor Days,PAGEIND,,,,,,,24,,,22,,,,21,,,,21,,,19,,,21,,,16,,,9,,,18,,,16,,,11,,,13
Inventory Days,PAGEIND,,,,,,,239,,,337,,,,317,,,,288,,,264,,,191,,,229,,,200,,,160,,,208,,,279,,,205
Days Payable,PAGEIND,,,,,,,48,,,54,,,,59,,,,50,,,47,,,46,,,37,,,26,,,72,,,77,,,50,,,39
Cash Conversion Cycle,PAGEIND,,,,,,,216,,,305,,,,279,,,,259,,,236,,,166,,,207,,,183,,,106,,,146,,,240,,,179
Working Capital Days,PAGEIND,,,,,,,74,,,85,,,,81,,,,71,,,62,,,40,,,61,,,47,,,14,,,36,,,81,,,52
ROCE %,PAGEIND,,,,,,,64%,,,64%,,,,62%,,,,62%,,,60%,,,64%,,,69%,,,53%,,,48%,,,67%,,,54%,,,45%
Debtor Days,PARAS,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0,,,242,,,242,,,246,,,247,,,285
Inventory Days,PARAS,,,,,,,,,,,,,,,,,,,,,,,,,,,281.0,,,303,,,418,,,297,,,324,,,455
Days Payable,PARAS,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,,,136,,,86,,,68,,,90,,,185
Cash Conversion Cycle,PARAS,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,,,410,,,573,,,475,,,480,,,555
Working Capital Days,PARAS,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,,,312,,,428,,,392,,,338,,,407
ROCE %,PARAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,,,12%,,,12%,,,13%,,,10%
Debtor Days,PERSISTENT,,,,,,,69,,,66,,,,69,,,,67,,,60,,,58,,,53,,,61,,,50,,,61,,,67,,,62
Inventory Days,PERSISTENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,PERSISTENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,PERSISTENT,,,,,,,69,,,66,,,,69,,,,67,,,60,,,58,,,53,,,61,,,50,,,61,,,67,,,62
Working Capital Days,PERSISTENT,,,,,,,39,,,34,,,,29,,,,40,,,49,,,53,,,43,,,37,,,27,,,6,,,28,,,34
ROCE %,PERSISTENT,,,,,,,28%,,,30%,,,,29%,,,,23%,,,23%,,,20%,,,20%,,,18%,,,22%,,,26%,,,30%,,,29%
Debtor Days,PIDILITIND,,,,,,,43,,,45,,,,44,,,,48,,,50,,,56,,,54,,,54,,,66,,,53,,,47,,,49
Inventory Days,PIDILITIND,,,,,,,95,,,93,,,,88,,,,89,,,100,,,102,,,95,,,100,,,133,,,114,,,98,,,86
Days Payable,PIDILITIND,,,,,,,45,,,54,,,,45,,,,53,,,54,,,69,,,59,,,67,,,109,,,70,,,57,,,70
Cash Conversion Cycle,PIDILITIND,,,,,,,92,,,84,,,,86,,,,84,,,96,,,89,,,90,,,88,,,91,,,96,,,88,,,66
Working Capital Days,PIDILITIND,,,,,,,23,,,33,,,,31,,,,42,,,46,,,56,,,54,,,45,,,35,,,54,,,47,,,24
ROCE %,PIDILITIND,,,,,,,34%,,,33%,,,,32%,,,,45%,,,39%,,,36%,,,33%,,,33%,,,28%,,,25%,,,24%,,,30%
Debtor Days,PIIND,,,,,,,83,,,59,,,,72,,,,69,,,68,,,84,,,85,,,70,,,56,,,60,,,43,,,44
Inventory Days,PIIND,,,,,,,131,,,126,,,,124,,,,124,,,136,,,141,,,126,,,158,,,149,,,178,,,144,,,124
Days Payable,PIIND,,,,,,,130,,,116,,,,116,,,,115,,,90,,,115,,,121,,,117,,,113,,,115,,,86,,,109
Cash Conversion Cycle,PIIND,,,,,,,84,,,70,,,,80,,,,78,,,113,,,110,,,90,,,111,,,93,,,122,,,101,,,59
Working Capital Days,PIIND,,,,,,,69,,,50,,,,55,,,,54,,,72,,,89,,,87,,,81,,,79,,,101,,,71,,,53
ROCE %,PIIND,,,,,,,26%,,,36%,,,,41%,,,,36%,,,34%,,,25%,,,25%,,,23%,,,22%,,,17%,,,22%,,,24%
Debtor Days,POLYCAB,,,,,,,,,,88.0,,,,84,,,,95,,,80,,,70,,,61,,,59,,,60,,,39,,,32,,,41
Inventory Days,POLYCAB,,,,,,,,,,70.0,,,,95,,,,94,,,134,,,,,,128,,,116,,,113,,,86,,,104,,,105
Days Payable,POLYCAB,,,,,,,,,,77.0,,,,101,,,,101,,,120,,,,,,97,,,82,,,77,,,48,,,72,,,82
Cash Conversion Cycle,POLYCAB,,,,,,,,,,81.0,,,,78,,,,88,,,94,,,70,,,91,,,94,,,96,,,77,,,65,,,65
Working Capital Days,POLYCAB,,,,,,,,,,92.0,,,,86,,,,94,,,96,,,88,,,50,,,76,,,73,,,69,,,60,,,61
ROCE %,POLYCAB,,,,,,,,,,,,,,17%,,,,17%,,,16%,,,22%,,,28%,,,29%,,,24%,,,21%,,,27%,,,31%
Debtor Days,PRINCEPIPE,,,,,,,,,,,,,,81.0,,,,87,,,69,,,66,,,58,,,40,,,58,,,60,,,56,,,83
Inventory Days,PRINCEPIPE,,,,,,,,,,,,,,57.0,,,,49,,,72,,,96,,,65,,,112,,,60,,,119,,,74,,,88
Days Payable,PRINCEPIPE,,,,,,,,,,,,,,38.0,,,,48,,,42,,,78,,,70,,,59,,,83,,,77,,,56,,,50
Cash Conversion Cycle,PRINCEPIPE,,,,,,,,,,,,,,99.0,,,,87,,,99,,,84,,,54,,,93,,,35,,,102,,,74,,,121
Working Capital Days,PRINCEPIPE,,,,,,,,,,,,,,87.0,,,,84,,,77,,,64,,,39,,,67,,,54,,,91,,,69,,,102
ROCE %,PRINCEPIPE,,,,,,,,,,,,,,,,,,15%,,,25%,,,21%,,,21%,,,21%,,,29%,,,28%,,,12%,,,15%
Debtor Days,RAILTEL,,,,,,,,,,,,,,,,,,164.0,,,160,,,173,,,169,,,160,,,208,,,160,,,195,,,180
Inventory Days,RAILTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,RAILTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,RAILTEL,,,,,,,,,,,,,,,,,,164.0,,,160,,,173,,,169,,,160,,,208,,,160,,,195,,,180
Working Capital Days,RAILTEL,,,,,,,,,,,,,,,,,,-66.0,,,-91,,,1,,,-16,,,17,,,-6,,,9,,,52,,,-19
ROCE %,RAILTEL,,,,,,,,,,,,,,,,,,,,,17%,,,16%,,,17%,,,17%,,,14%,,,16%,,,16%,,,20%
Debtor Days,RAYMOND,,,,,,,66,,,68,,,,63,,,,74,,,72,,,67,,,70,,,65,,,101,,,52,,,33,,,57
Inventory Days,RAYMOND,,,,,,,219,,,222,,,,181,,,,195,,,200,,,235,,,247,,,287,,,363,,,328,,,304,,,498
Days Payable,RAYMOND,,,,,,,121,,,120,,,,110,,,,98,,,120,,,164,,,176,,,183,,,258,,,279,,,206,,,293
Cash Conversion Cycle,RAYMOND,,,,,,,164,,,170,,,,134,,,,171,,,151,,,138,,,141,,,169,,,206,,,100,,,131,,,262
Working Capital Days,RAYMOND,,,,,,,51,,,81,,,,65,,,,70,,,57,,,42,,,67,,,78,,,98,,,61,,,55,,,102
ROCE %,RAYMOND,,,,,,,7%,,,9%,,,,10%,,,,10%,,,6%,,,9%,,,11%,,,9%,,,-4%,,,13%,,,21%,,,31%
Debtor Days,REDTAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,21,,,18
Inventory Days,REDTAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963.0,,,299,,,294
Days Payable,REDTAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.0,,,160,,,106
Cash Conversion Cycle,REDTAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.0,,,160,,,206
Working Capital Days,REDTAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.0,,,90,,,87
ROCE %,REDTAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45%,,,32%
Debtor Days,RELAXO,,,,,,,13,,,21,,,,21,,,,24,,,28,,,33,,,35,,,26,,,28,,,34,,,35,,,45
Inventory Days,RELAXO,,,,,,,124,,,109,,,,163,,,,147,,,146,,,130,,,130,,,157,,,154,,,202,,,154,,,179
Days Payable,RELAXO,,,,,,,35,,,39,,,,61,,,,63,,,63,,,72,,,58,,,65,,,81,,,67,,,69,,,76
Cash Conversion Cycle,RELAXO,,,,,,,102,,,91,,,,123,,,,108,,,110,,,90,,,107,,,119,,,101,,,170,,,121,,,148
Working Capital Days,RELAXO,,,,,,,31,,,20,,,,31,,,,32,,,32,,,43,,,56,,,60,,,49,,,82,,,64,,,75
ROCE %,RELAXO,,,,,,,22%,,,26%,,,,30%,,,,30%,,,26%,,,30%,,,26%,,,24%,,,26%,,,18%,,,12%,,,14%
Debtor Days,RELIANCE,,,,,,,9,,,8,,,,5,,,,6,,,10,,,16,,,19,,,12,,,15,,,12,,,12,,,13
Inventory Days,RELIANCE,,,,,,,60,,,57,,,,66,,,,90,,,84,,,83,,,63,,,67,,,102,,,83,,,87,,,95
Days Payable,RELIANCE,,,,,,,55,,,61,,,,74,,,,117,,,132,,,146,,,100,,,87,,,136,,,123,,,91,,,111
Cash Conversion Cycle,RELIANCE,,,,,,,14,,,4,,,,-2,,,,-21,,,-38,,,-46,,,-18,,,-9,,,-19,,,-27,,,7,,,-3
Working Capital Days,RELIANCE,,,,,,,-1,,,-3,,,,-37,,,,-117,,,-141,,,-144,,,-67,,,-101,,,12,,,-13,,,-9,,,-10
ROCE %,RELIANCE,,,,,,,10%,,,10%,,,,9%,,,,10%,,,10%,,,11%,,,12%,,,11%,,,8%,,,8%,,,9%,,,10%
Debtor Days,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,57,,,74,,,75,,,78,,,85
Inventory Days,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,57,,,75,,,63,,,59,,,80
Days Payable,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,,,95,,,104,,,61,,,56,,,62
Cash Conversion Cycle,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,19,,,46,,,76,,,80,,,103
Working Capital Days,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,39,,,60,,,64,,,57,,,85
ROCE %,ROSSARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38%,,,29%,,,24%,,,18%,,,18%
Debtor Days,ROUTE,,,,,,,,,,,,,,,,,,22.0,,,26,,,70,,,63,,,78,,,56,,,94,,,72,,,97
Inventory Days,ROUTE,,,,,,,,,,,,,,,,,,0.0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Days Payable,ROUTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,ROUTE,,,,,,,,,,,,,,,,,,22.0,,,26,,,70,,,63,,,78,,,56,,,94,,,72,,,97
Working Capital Days,ROUTE,,,,,,,,,,,,,,,,,,-130.0,,,-14,,,-37,,,-5,,,-5,,,-16,,,-5,,,18,,,50
ROCE %,ROUTE,,,,,,,,,,,,,,,,,,,,,76%,,,32%,,,28%,,,29%,,,33%,,,17%,,,22%,,,21%
Debtor Days,RVNL,,,,,,,,,,,,,,22.0,,,,39,,,30,,,34,,,23,,,21,,,23,,,18,,,17,,,18
Inventory Days,RVNL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,RVNL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,RVNL,,,,,,,,,,,,,,22.0,,,,39,,,30,,,34,,,23,,,21,,,23,,,18,,,17,,,18
Working Capital Days,RVNL,,,,,,,,,,,,,,1412.0,,,,1274,,,21,,,70,,,99,,,122,,,135,,,21,,,57,,,42
ROCE %,RVNL,,,,,,,,,,,,,,,,,,7%,,,9%,,,12%,,,13%,,,12%,,,16%,,,16%,,,18%,,,18%
ROE %,SBICARD,,,,,,,,,,49%,,,,31%,,,,27%,,,29%,,,32%,,,29%,,,28%,,,17%,,,23%,,,26%,,,22%
