Ratios,Stockname,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
ROE %,SBIN,,,,,,,16%,,,10%,,,,11%,,,,7%,,,-0%,,,-2%,,,1%,,,7%,,,9%,,,12%,,,17%,,,17%
Debtor Days,SIEMENS,,129,,127,,,,,,,,126.0,,,,105,,,102,,,113,,,105,,,106,,,115,,,102,,,86,,,88,,
Inventory Days,SIEMENS,,39,,34,,,,,,,,78.0,,,,69,,,69,,,70,,,74,,,73,,,101,,,104,,,99,,,95,,
Days Payable,SIEMENS,,164,,118,,,,,,,,202.0,,,,173,,,150,,,182,,,196,,,215,,,251,,,214,,,186,,,161,,
Cash Conversion Cycle,SIEMENS,,5,,43,,,,,,,,3.0,,,,1,,,21,,,1,,,-17,,,-36,,,-36,,,-8,,,-0,,,22,,
Working Capital Days,SIEMENS,,1,,29,,,,,,,,24.0,,,,20,,,32,,,34,,,49,,,44,,,42,,,32,,,17,,,29,,
ROCE %,SIEMENS,,40%,,36%,,,,,,,,,,,,19%,,,16%,,,15%,,,18%,,,19%,,,11%,,,14%,,,16%,,,21%,,
Debtor Days,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,168.0,,,79,,,82,,,97,,,76,,,83,,,74
Inventory Days,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,619.0,,,121,,,161,,,173,,,140,,,97,,,92
Days Payable,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,719.0,,,123,,,95,,,127,,,85,,,74,,,79
Cash Conversion Cycle,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,77,,,148,,,143,,,132,,,105,,,87
Working Capital Days,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,-13,,,80,,,122,,,93,,,86,,,75
ROCE %,SONACOMS,,,,,,,,,,,,,,,,,,,,,,,,,,,51%,,,19%,,,21%,,,22%,,,22%,,,24%
Debtor Days,SPICELEC,,,,,,,24,,,54,,,,44,,,,54,,,159,,,18,,,60,,,319,,,926,,,41,,,61,,,36
Inventory Days,SPICELEC,,,,,,,167,,,381,,,,2094,,,,1178,,,,,,,,,,,,,,,,,,,,,,,,2838
Days Payable,SPICELEC,,,,,,,98,,,166,,,,558,,,,346,,,,,,,,,,,,,,,,,,,,,,,,343
Cash Conversion Cycle,SPICELEC,,,,,,,93,,,270,,,,1580,,,,886,,,159,,,18,,,60,,,319,,,926,,,41,,,61,,,2531
Working Capital Days,SPICELEC,,,,,,,27,,,53,,,,117,,,,14,,,119,,,114,,,58,,,163,,,339,,,883,,,668,,,284
ROCE %,SPICELEC,,,,,,,0%,,,4%,,,,3%,,,,-20%,,,-6%,,,-6%,,,-8%,,,3%,,,-4%,,,-6%,,,9%,,,-5%
Debtor Days,SRF,,,,,,,49,,,63,,,,49,,,,41,,,50,,,44,,,53,,,45,,,55,,,53,,,44,,,54
Inventory Days,SRF,,,,,,,95,,,114,,,,110,,,,105,,,126,,,115,,,113,,,119,,,133,,,129,,,112,,,127
Days Payable,SRF,,,,,,,88,,,120,,,,83,,,,112,,,122,,,126,,,127,,,110,,,144,,,126,,,110,,,120
Cash Conversion Cycle,SRF,,,,,,,56,,,56,,,,75,,,,34,,,54,,,34,,,38,,,54,,,45,,,55,,,46,,,61
Working Capital Days,SRF,,,,,,,16,,,48,,,,29,,,,16,,,26,,,34,,,41,,,12,,,48,,,54,,,45,,,57
ROCE %,SRF,,,,,,,12%,,,8%,,,,11%,,,,14%,,,14%,,,11%,,,14%,,,14%,,,18%,,,24%,,,22%,,,13%
Debtor Days,SUNPHARMA,,,,,,,79,,,50,,,,68,,,,87,,,83,,,108,,,112,,,105,,,99,,,99,,,95,,,85
Inventory Days,SUNPHARMA,,,,,,,454,,,410,,,,307,,,,370,,,307,,,338,,,366,,,311,,,378,,,315,,,360,,,338
Days Payable,SUNPHARMA,,,,,,,186,,,174,,,,178,,,,207,,,197,,,234,,,192,,,142,,,167,,,158,,,194,,,194
Cash Conversion Cycle,SUNPHARMA,,,,,,,347,,,286,,,,197,,,,251,,,193,,,212,,,285,,,274,,,310,,,255,,,261,,,229
Working Capital Days,SUNPHARMA,,,,,,,111,,,126,,,,76,,,,104,,,73,,,79,,,137,,,112,,,84,,,55,,,93,,,78
ROCE %,SUNPHARMA,,,,,,,32%,,,34%,,,,23%,,,,18%,,,20%,,,10%,,,10%,,,10%,,,13%,,,17%,,,16%,,,17%
Debtor Days,TATACONSUM,,,,,,,35,,,31,,,,28,,,,33,,,32,,,35,,,34,,,35,,,24,,,25,,,21,,,22
Inventory Days,TATACONSUM,,,,,,,162,,,174,,,,176,,,,164,,,168,,,143,,,146,,,115,,,132,,,132,,,144,,,140
Days Payable,TATACONSUM,,,,,,,93,,,88,,,,82,,,,68,,,85,,,70,,,61,,,64,,,95,,,111,,,125,,,136
Cash Conversion Cycle,TATACONSUM,,,,,,,105,,,117,,,,122,,,,128,,,114,,,108,,,120,,,87,,,61,,,45,,,40,,,25
Working Capital Days,TATACONSUM,,,,,,,55,,,82,,,,75,,,,86,,,72,,,81,,,88,,,63,,,48,,,58,,,49,,,33
ROCE %,TATACONSUM,,,,,,,11%,,,9%,,,,9%,,,,4%,,,9%,,,9%,,,8%,,,9%,,,8%,,,9%,,,9%,,,11%
Debtor Days,TATAELXSI,,,,,,,81,,,74,,,,66,,,,73,,,72,,,81,,,81,,,89,,,98,,,99,,,113,,,100
Inventory Days,TATAELXSI,,,,,,,,,,0,,,,,,,,,,,,,,0,,,6,,,8,,,,,,2,,,1,,,2
Days Payable,TATAELXSI,,,,,,,,,,,,,,,,,,,,,,,,,,,205,,,212,,,,,,244,,,202,,,162
Cash Conversion Cycle,TATAELXSI,,,,,,,81,,,74,,,,66,,,,73,,,72,,,81,,,-117,,,-116,,,98,,,-143,,,-88,,,-60
Working Capital Days,TATAELXSI,,,,,,,40,,,22,,,,10,,,,26,,,54,,,59,,,69,,,75,,,56,,,50,,,78,,,80
ROCE %,TATAELXSI,,,,,,,22%,,,48%,,,,60%,,,,71%,,,56%,,,57%,,,51%,,,35%,,,40%,,,48%,,,48%,,,43%
Debtor Days,TATAINVEST,,,,,,,0.0,,,3,,,,1,,,,0,,,0,,,33,,,8,,,3,,,0,,,78,,,14,,,5
Inventory Days,TATAINVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,TATAINVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,TATAINVEST,,,,,,,0.0,,,3,,,,1,,,,0,,,0,,,33,,,8,,,3,,,0,,,78,,,14,,,5
Working Capital Days,TATAINVEST,,,,,,,-10.0,,,-146,,,,-150,,,,43,,,11,,,33,,,-6,,,-14,,,-8,,,55,,,3,,,-8
ROCE %,TATAINVEST,,,,,,,,,,10%,,,,10%,,,,10%,,,10%,,,3%,,,2%,,,1%,,,2%,,,1%,,,1%,,,2%
Debtor Days,TATAMOTORS,,,,,,,21,,,17,,,,17,,,,18,,,19,,,25,,,23,,,16,,,19,,,16,,,17,,,14
Inventory Days,TATAMOTORS,,,,,,,64,,,69,,,,67,,,,73,,,77,,,83,,,73,,,82,,,83,,,71,,,66,,,64
Days Payable,TATAMOTORS,,,,,,,137,,,146,,,,131,,,,138,,,138,,,151,,,133,,,145,,,175,,,141,,,128,,,126
Cash Conversion Cycle,TATAMOTORS,,,,,,,-51,,,-60,,,,-47,,,,-46,,,-41,,,-43,,,-38,,,-48,,,-74,,,-53,,,-45,,,-48
Working Capital Days,TATAMOTORS,,,,,,,-57,,,-41,,,,-44,,,,-47,,,-50,,,-50,,,-53,,,-68,,,-48,,,-32,,,-24,,,-24
ROCE %,TATAMOTORS,,,,,,,21%,,,22%,,,,21%,,,,15%,,,9%,,,9%,,,2%,,,-0%,,,6%,,,1%,,,6%,,,20%
Debtor Days,TATAPOWER,,,,,,,36,,,46,,,,60,,,,44,,,51,,,38,,,54,,,55,,,58,,,51,,,46,,,44
Inventory Days,TATAPOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,TATAPOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,TATAPOWER,,,,,,,36,,,46,,,,60,,,,44,,,51,,,38,,,54,,,55,,,58,,,51,,,46,,,44
Working Capital Days,TATAPOWER,,,,,,,-38,,,-57,,,,-40,,,,-34,,,-105,,,-80,,,-4,,,2,,,-53,,,-50,,,-44,,,-65
ROCE %,TATAPOWER,,,,,,,8%,,,8%,,,,9%,,,,5%,,,9%,,,6%,,,7%,,,7%,,,8%,,,9%,,,12%,,,11%
Debtor Days,TATATECH,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,93,,,91,,,79,,,91,,,82
Inventory Days,TATATECH,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,,0,,,0,,,0,,,0
Days Payable,TATATECH,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,,,,,,,,,,,,,,,
Cash Conversion Cycle,TATATECH,,,,,,,,,,,,,,,,,,,,,,,,,,,-241.0,,,93,,,91,,,79,,,91,,,82
Working Capital Days,TATATECH,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,65,,,-6,,,-8,,,69,,,60
ROCE %,TATATECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22%,,,15%,,,25%,,,28%,,,28%
Debtor Days,TCS,,,,,,,82,,,81,,,,79,,,,81,,,70,,,74,,,68,,,71,,,67,,,80,,,81,,,81
Inventory Days,TCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,TCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,TCS,,,,,,,82,,,81,,,,79,,,,81,,,70,,,74,,,68,,,71,,,67,,,80,,,81,,,81
Working Capital Days,TCS,,,,,,,70,,,52,,,,33,,,,62,,,63,,,61,,,70,,,67,,,62,,,36,,,33,,,36
ROCE %,TCS,,,,,,,52%,,,56%,,,,50%,,,,51%,,,44%,,,39%,,,47%,,,47%,,,49%,,,54%,,,59%,,,64%
Debtor Days,TECHM,,,,,,,90,,,84,,,,84,,,,80,,,67,,,77,,,73,,,75,,,87,,,98,,,88,,,80
Inventory Days,TECHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,TECHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,TECHM,,,,,,,90,,,84,,,,84,,,,80,,,67,,,77,,,73,,,75,,,87,,,98,,,88,,,80
Working Capital Days,TECHM,,,,,,,24,,,47,,,,64,,,,69,,,67,,,53,,,37,,,60,,,42,,,43,,,40,,,36
ROCE %,TECHM,,,,,,,19%,,,45%,,,,32%,,,,27%,,,23%,,,24%,,,25%,,,22%,,,23%,,,26%,,,22%,,,12%
Debtor Days,TIINDIA,,,,,,,,,,,,,,,,,,,,,50,,,51,,,41,,,40,,,77,,,52,,,52,,,59
Inventory Days,TIINDIA,,,,,,,,,,,,,,,,,,,,,101,,,93,,,84,,,75,,,111,,,58,,,50,,,59
Days Payable,TIINDIA,,,,,,,,,,,,,,,,,,,,,107,,,117,,,96,,,94,,,226,,,103,,,85,,,92
Cash Conversion Cycle,TIINDIA,,,,,,,,,,,,,,,,,,,,,44,,,26,,,29,,,22,,,-38,,,8,,,17,,,26
Working Capital Days,TIINDIA,,,,,,,,,,,,,,,,,,,,,33,,,18,,,21,,,18,,,-90,,,-17,,,15,,,25
ROCE %,TIINDIA,,,,,,,,,,,,,,,,,,,,,26%,,,13%,,,20%,,,21%,,,14%,,,27%,,,32%,,,26%
Debtor Days,TITAGARH,,,,,,,86,,,81,,,,54,,,,87,,,50,,,79,,,81,,,52,,,136,,,58,,,37,,,50
Inventory Days,TITAGARH,,,,,,,249,,,313,,,,176,,,,471,,,182,,,213,,,203,,,119,,,142,,,176,,,78,,,64
Days Payable,TITAGARH,,,,,,,85,,,84,,,,75,,,,248,,,150,,,148,,,209,,,111,,,146,,,153,,,55,,,39
Cash Conversion Cycle,TITAGARH,,,,,,,250,,,310,,,,155,,,,310,,,82,,,145,,,75,,,60,,,131,,,81,,,60,,,75
Working Capital Days,TITAGARH,,,,,,,164,,,162,,,,80,,,,77,,,77,,,115,,,131,,,132,,,164,,,139,,,47,,,65
ROCE %,TITAGARH,,,,,,,7%,,,2%,,,,5%,,,,2%,,,6%,,,-8%,,,1%,,,2%,,,5%,,,9%,,,18%,,,25%
Debtor Days,TITAN,,,,,,,6,,,5,,,,6,,,,6,,,6,,,7,,,8,,,5,,,6,,,7,,,6,,,7
Inventory Days,TITAN,,,,,,,179,,,175,,,,169,,,,198,,,189,,,185,,,178,,,195,,,187,,,230,,,199,,,176
Days Payable,TITAN,,,,,,,102,,,39,,,,81,,,,74,,,30,,,27,,,23,,,14,,,18,,,22,,,15,,,13
Cash Conversion Cycle,TITAN,,,,,,,83,,,142,,,,94,,,,131,,,165,,,164,,,163,,,186,,,176,,,215,,,191,,,171
Working Capital Days,TITAN,,,,,,,7,,,55,,,,62,,,,78,,,94,,,99,,,99,,,112,,,113,,,146,,,121,,,115
ROCE %,TITAN,,,,,,,62%,,,42%,,,,35%,,,,27%,,,23%,,,25%,,,26%,,,24%,,,13%,,,21%,,,25%,,,23%
Debtor Days,TORNTPHARM,,,,,,,78,,,96,,,,125,,,,79,,,60,,,77,,,68,,,76,,,69,,,70,,,74,,,63
Inventory Days,TORNTPHARM,,,,,,,364,,,297,,,,275,,,,314,,,318,,,429,,,318,,,362,,,456,,,368,,,298,,,310
Days Payable,TORNTPHARM,,,,,,,421,,,421,,,,472,,,,523,,,356,,,447,,,345,,,345,,,351,,,250,,,224,,,284
Cash Conversion Cycle,TORNTPHARM,,,,,,,22,,,-28,,,,-71,,,,-130,,,21,,,59,,,42,,,93,,,174,,,188,,,147,,,89
Working Capital Days,TORNTPHARM,,,,,,,33,,,42,,,,54,,,,-1,,,28,,,20,,,-17,,,-2,,,82,,,89,,,74,,,53
ROCE %,TORNTPHARM,,,,,,,33%,,,35%,,,,27%,,,,48%,,,19%,,,13%,,,13%,,,15%,,,17%,,,19%,,,20%,,,23%
Debtor Days,TRENT,,,,,,,4,,,3,,,,3,,,,3,,,1,,,3,,,2,,,2,,,3,,,1,,,2,,,2
Inventory Days,TRENT,,,,,,,86,,,90,,,,91,,,,128,,,126,,,122,,,138,,,118,,,102,,,128,,,105,,,83
Days Payable,TRENT,,,,,,,93,,,83,,,,61,,,,76,,,70,,,74,,,68,,,58,,,65,,,56,,,51,,,41
Cash Conversion Cycle,TRENT,,,,,,,-3,,,9,,,,33,,,,55,,,58,,,51,,,72,,,62,,,40,,,74,,,55,,,45
Working Capital Days,TRENT,,,,,,,23,,,22,,,,-14,,,,-25,,,36,,,41,,,37,,,39,,,39,,,50,,,38,,,28
ROCE %,TRENT,,,,,,,-0%,,,1%,,,,4%,,,,7%,,,9%,,,10%,,,11%,,,17%,,,2%,,,9%,,,12%,,,24%
Debtor Days,TVSMOTOR,,,,,,,15,,,15,,,,15,,,,16,,,21,,,24,,,28,,,28,,,19,,,18,,,14,,,17
Inventory Days,TVSMOTOR,,,,,,,43,,,41,,,,51,,,,40,,,47,,,34,,,34,,,35,,,39,,,37,,,34,,,34
Days Payable,TVSMOTOR,,,,,,,58,,,64,,,,76,,,,74,,,80,,,86,,,83,,,94,,,121,,,105,,,89,,,99
Cash Conversion Cycle,TVSMOTOR,,,,,,,1,,,-7,,,,-11,,,,-18,,,-12,,,-28,,,-21,,,-31,,,-63,,,-50,,,-41,,,-48
Working Capital Days,TVSMOTOR,,,,,,,-7,,,-7,,,,6,,,,-8,,,-2,,,34,,,58,,,47,,,21,,,81,,,97,,,100
ROCE %,TVSMOTOR,,,,,,,14%,,,19%,,,,21%,,,,22%,,,22%,,,19%,,,16%,,,13%,,,11%,,,11%,,,13%,,,15%
Debtor Days,UBL,,,,,,,76,,,83,,,,75,,,,84,,,100,,,97,,,85,,,76,,,120,,,78,,,68,,,104
Inventory Days,UBL,,,,,,,304,,,301,,,,283,,,,330,,,333,,,271,,,326,,,312,,,561,,,302,,,321,,,298
Days Payable,UBL,,,,,,,148,,,116,,,,173,,,,200,,,204,,,175,,,186,,,156,,,311,,,206,,,161,,,207
Cash Conversion Cycle,UBL,,,,,,,232,,,268,,,,184,,,,214,,,229,,,193,,,225,,,232,,,370,,,174,,,228,,,196
Working Capital Days,UBL,,,,,,,73,,,67,,,,38,,,,37,,,50,,,57,,,49,,,59,,,74,,,31,,,50,,,65
ROCE %,UBL,,,,,,,13%,,,14%,,,,16%,,,,18%,,,14%,,,22%,,,28%,,,17%,,,5%,,,13%,,,11%,,,13%
Debtor Days,UNITDSPR,,,,,,,85,,,79,,,,69,,,,99,,,122,,,115,,,99,,,89,,,98,,,89,,,84,,,99
Inventory Days,UNITDSPR,,,,,,,247,,,185,,,,123,,,,150,,,226,,,263,,,235,,,199,,,254,,,229,,,193,,,186
Days Payable,UNITDSPR,,,,,,,186,,,115,,,,56,,,,78,,,144,,,195,,,171,,,124,,,176,,,168,,,154,,,176
Cash Conversion Cycle,UNITDSPR,,,,,,,146,,,148,,,,136,,,,171,,,205,,,183,,,163,,,165,,,177,,,150,,,122,,,108
Working Capital Days,UNITDSPR,,,,,,,55,,,96,,,,83,,,,99,,,98,,,86,,,74,,,58,,,59,,,57,,,54,,,56
ROCE %,UNITDSPR,,,,,,,8%,,,-24%,,,,-3%,,,,15%,,,15%,,,18%,,,20%,,,21%,,,14%,,,25%,,,20%,,,28%
Debtor Days,UNOMINDA,,,,,,,59,,,56,,,,47,,,,53,,,54,,,64,,,56,,,51,,,69,,,60,,,56,,,54
Inventory Days,UNOMINDA,,,,,,,35,,,39,,,,35,,,,42,,,41,,,55,,,57,,,58,,,70,,,72,,,67,,,66
Days Payable,UNOMINDA,,,,,,,84,,,77,,,,66,,,,73,,,84,,,105,,,80,,,107,,,120,,,98,,,86,,,80
Cash Conversion Cycle,UNOMINDA,,,,,,,10,,,18,,,,16,,,,21,,,11,,,14,,,32,,,2,,,18,,,35,,,37,,,39
Working Capital Days,UNOMINDA,,,,,,,18,,,22,,,,19,,,,19,,,17,,,25,,,31,,,-22,,,10,,,36,,,37,,,38
ROCE %,UNOMINDA,,,,,,,11%,,,6%,,,,13%,,,,20%,,,19%,,,21%,,,20%,,,11%,,,11%,,,13%,,,18%,,,20%
Debtor Days,VBL,,,,,,18.0,,,11,,,,14,,,,11,,,12,,,14,,,9,,,9,,,14,,,9,,,8,,,8,
Inventory Days,VBL,,,,,,82.0,,,75,,,,77,,,,90,,,103,,,88,,,94,,,100,,,123,,,131,,,116,,,106,
Days Payable,VBL,,,,,,32.0,,,42,,,,48,,,,39,,,58,,,38,,,52,,,54,,,68,,,64,,,48,,,37,
Cash Conversion Cycle,VBL,,,,,,68.0,,,44,,,,43,,,,62,,,58,,,64,,,52,,,55,,,69,,,76,,,76,,,77,
Working Capital Days,VBL,,,,,,46.0,,,28,,,,-24,,,,-46,,,-50,,,-33,,,-23,,,-13,,,-6,,,30,,,32,,,38,
ROCE %,VBL,,,,,,,,,5%,,,,7%,,,,12%,,,16%,,,12%,,,15%,,,18%,,,11%,,,17%,,,27%,,,29%,
Debtor Days,VINATIORGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,106,,,104,,,82,,,102
Inventory Days,VINATIORGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,115,,,75,,,64,,,72
Days Payable,VINATIORGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,63,,,46,,,40,,,36
Cash Conversion Cycle,VINATIORGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,,158,,,132,,,107,,,137
Working Capital Days,VINATIORGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,138,,,141,,,100,,,147
ROCE %,VINATIORGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%,,,27%,,,30%,,,19%
Debtor Days,MANYAVAR,,,,,,,,,,,,,,,,,,,,,,,,152.0,,,152,,,148,,,233,,,139,,,128,,,151
Inventory Days,MANYAVAR,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,158,,,186,,,271,,,209,,,190,,,139
Days Payable,MANYAVAR,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,105,,,78,,,134,,,107,,,94,,,89
Cash Conversion Cycle,MANYAVAR,,,,,,,,,,,,,,,,,,,,,,,,225.0,,,205,,,257,,,371,,,242,,,224,,,200
Working Capital Days,MANYAVAR,,,,,,,,,,,,,,,,,,,,,,,,147.0,,,145,,,159,,,209,,,126,,,111,,,136
ROCE %,MANYAVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,34%,,,29%,,,15%,,,33%,,,39%,,,31%
Debtor Days,VOLTAS,,,,,,,90,,,93,,,,94,,,,87,,,88,,,89,,,92,,,87,,,87,,,97,,,84,,,74
Inventory Days,VOLTAS,,,,,,,86,,,85,,,,88,,,,65,,,78,,,65,,,76,,,97,,,84,,,103,,,79,,,79
Days Payable,VOLTAS,,,,,,,151,,,154,,,,156,,,,156,,,172,,,174,,,165,,,177,,,161,,,182,,,149,,,143
Cash Conversion Cycle,VOLTAS,,,,,,,25,,,24,,,,26,,,,-4,,,-6,,,-19,,,3,,,7,,,9,,,18,,,14,,,10
Working Capital Days,VOLTAS,,,,,,,46,,,42,,,,35,,,,38,,,36,,,40,,,57,,,59,,,60,,,54,,,54,,,32
ROCE %,VOLTAS,,,,,,,16%,,,17%,,,,22%,,,,19%,,,22%,,,22%,,,17%,,,18%,,,15%,,,13%,,,10%,,,9%
Debtor Days,WESTLIFE,,,,,,,5,,,3,,,,2,,,,2,,,2,,,2,,,3,,,1,,,3,,,3,,,2,,,3
Inventory Days,WESTLIFE,,,,,,,21,,,23,,,,28,,,,30,,,30,,,29,,,29,,,28,,,49,,,40,,,38,,,32
Days Payable,WESTLIFE,,,,,,,68,,,68,,,,65,,,,74,,,74,,,93,,,84,,,87,,,194,,,123,,,100,,,104
Cash Conversion Cycle,WESTLIFE,,,,,,,-42,,,-42,,,,-36,,,,-42,,,-42,,,-62,,,-52,,,-58,,,-142,,,-80,,,-60,,,-69
Working Capital Days,WESTLIFE,,,,,,,-30,,,-32,,,,-56,,,,-45,,,-43,,,-47,,,-22,,,-23,,,-60,,,-33,,,-28,,,1
ROCE %,WESTLIFE,,,,,,,10%,,,2%,,,,-5%,,,,-1%,,,-2%,,,3%,,,6%,,,8%,,,-2%,,,5%,,,15%,,,11%
Debtor Days,WIPRO,,,,,,,75,,,72,,,,71,,,,71,,,62,,,68,,,62,,,62,,,56,,,53,,,51,,,47
Inventory Days,WIPRO,,,,,,,39,,,28,,,,56,,,,66,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,WIPRO,,,,,,,572,,,639,,,,671,,,,597,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,WIPRO,,,,,,,-459,,,-539,,,,-544,,,,-461,,,62,,,68,,,62,,,62,,,56,,,53,,,51,,,47
Working Capital Days,WIPRO,,,,,,,24,,,48,,,,65,,,,60,,,54,,,57,,,29,,,18,,,9,,,33,,,36,,,32
ROCE %,WIPRO,,,,,,,24%,,,29%,,,,27%,,,,23%,,,19%,,,17%,,,19%,,,20%,,,22%,,,21%,,,18%,,,17%
Debtor Days,YASHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,78,,,56,,,74
Inventory Days,YASHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,,,126,,,147,,,130
Days Payable,YASHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,105,,,45,,,46
Cash Conversion Cycle,YASHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0,,,99,,,158,,,157
Working Capital Days,YASHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,,,100,,,130,,,144
ROCE %,YASHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29%,,,23%,,,13%
Debtor Days,ZENTEC,,,,,255,,127,,,90,,,,276,,,,56,,,121,,,,,,290.0,,,114,,,124,,,166,,,142,,,153
Inventory Days,ZENTEC,,,,,59,,212,,,295,,,,225,,,,242,,,237,,,,,,496.0,,,137,,,609,,,693,,,305,,,523
Days Payable,ZENTEC,,,,,76,,55,,,63,,,,47,,,,52,,,92,,,,,,114.0,,,44,,,132,,,109,,,42,,,99
Cash Conversion Cycle,ZENTEC,,,,,238,,284,,,322,,,,455,,,,246,,,265,,,,,,672.0,,,206,,,601,,,750,,,406,,,577
Working Capital Days,ZENTEC,,,,,188,,235,,,143,,,,281,,,,138,,,187,,,,,,295.0,,,194,,,540,,,680,,,126,,,159
ROCE %,ZENTEC,,,,,37%,,6%,,,2%,,,,16%,,,,3%,,,8%,,,,,,,,,33%,,,3%,,,2%,,,23%,,,46%
