Quarters,526433,532407,544021,AARTIDRUGS,AARTIIND,AARTIPHARM,AARTISURF,ABB,ACC,ADANIENT,AFFLE,ALKYLAMINE,ANGELONE,ARE&M,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ASTRAL,AXISBANK,BAJAJ-AUTO,BAJAJELEC,BAJAJFINSV,BAJFINANCE,BALAMINES,BATAINDIA,BEL,BERGEPAINT,BHARTIARTL,BOROLTD,BRITANNIA,BSE,CAMS,CAMPUS,CDSL,CENTUM,CGPOWER,COCHINSHIP,COFORGE,CONCOR,CYIENT,DABUR,DEEPAKNTR,DIVISLAB,DIXON,DMART,DRREDDY,EICHERMOT,ETHOSLTD,EXIDEIND,FINEORG,GMMPFAUDLR,GODREJPROP,GREENLAM,GREENPANEL,GRSE,HAL,HAPPSTMNDS,HAVELLS,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HERITGFOOD,HEROMOTOCO,HINDUNILVR,HLEGLAS,HNDFDS,ICICIBANK,ICICIGI,ICICIPRULI,IDEAFORGE,IDFCFIRSTB,INDIGO,INDIGOPNTS,INFY,IRCON,IRCTC,IREDA,ITC,JIOFIN,JUBLFOOD,KALYANKJIL,KAYNES,KEI,KOTAKBANK,KPIGREEN,KPITTECH,KSCL,LALPATHLAB,LATENTVIEW,LT,LTIM,LTTS,LXCHEM,M&M,MANKIND,MAPMYINDIA,MARICO,MARUTI,MAZDOCK,METROBRAND,MOLDTECH,MOLDTKPAC,MOTHERSON,MTARTECH,MUFTI,MUTHOOTFIN,NAUKRI,NAVINFLUOR,NAZARA,NEOGEN,NESTLEIND,NETWEB,PAGEIND,PARAS,PERSISTENT,PIDILITIND,PIIND,POLYCAB,PRINCEPIPE,RAILTEL,RAYMOND,REDTAPE,RELAXO,RELIANCE,ROSSARI,ROUTE,RVNL,SBICARD,SBIN,SIEMENS,SONACOMS,SPICELEC,SRF,SUNPHARMA,TATACONSUM,TATAELXSI,TATAINVEST,TATAMOTORS,TATAPOWER,TATATECH,TCS,TECHM,TIINDIA,TITAGARH,TITAN,TORNTPHARM,TRENT,TVSMOTOR,UBL,UNITDSPR,UNOMINDA,VBL,VINATIORGA,MANYAVAR,VOLTAS,WESTLIFE,WIPRO,YASHO,ZENTEC
Mar 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2021,2.99,0.11,,5.27,4.55,,5.32,3.32,30.32,2.47,2.68,15.38,14.73,7.27,1.45,-0.93,5.93,2.76,7.69,40.44,-1.91,5.23,16.61,27.89,-5.41,0.03,1.21,0.48,-0.21,16.17,3.95,12.95,0.13,6.11,-26.9,0.4,1.09,20.4,4.25,10.44,2.47,22.19,20.99,3.1,1.47,22.87,8.67,0.46,0.39,11.71,0.59,0.61,1.44,2.43,1.8,2.91,2.43,3.76,11.81,,14.33,1.33,3.26,12.82,8.92,2.11,0.96,6.88,4.27,-1.29,,-1.0,-82.47,,12.2,0.95,,,2.66,,1.05,-0.5,,7.45,9.11,0.74,2.2,33.77,15.74,27.39,8.36,28.39,20.58,3.88,3.41,,53.18,2.76,15.72,5.04,,1.16,4.32,0.61,2.83,,24.37,11.83,11.29,0.87,3.15,5.59,,9.82,0.33,9.89,4.33,12.34,4.96,1.61,0.65,-23.5,,1.25,19.36,4.46,5.86,1.11,3.24,8.27,3.98,1.41,-0.78,13.35,6.02,1.93,18.21,10.64,-13.41,1.22,,24.35,13.97,6.22,1.46,0.23,9.75,-3.56,-0.22,1.17,0.76,0.28,2.37,7.87,3.65,3.68,-2.14,5.92,10.01,-0.14
Sep 2021,3.77,0.1,,4.6,4.14,,0.98,5.66,23.97,1.93,3.57,10.59,16.24,8.45,3.34,-0.35,6.21,5.27,11.05,70.49,5.48,7.05,24.54,24.61,2.89,0.85,1.88,1.93,2.35,15.95,4.82,14.86,,8.22,-0.5,1.49,4.99,24.2,4.16,11.01,2.85,18.65,22.84,10.68,6.45,59.84,13.65,1.45,2.31,16.27,7.88,1.29,1.72,5.47,5.13,12.66,3.03,4.83,12.01,,16.43,1.36,3.53,37.32,9.28,1.9,1.03,8.78,9.11,3.1,,0.18,-37.28,,12.89,1.34,,,3.01,,1.82,0.67,,10.18,15.07,1.13,2.37,2.19,11.4,1.25,12.95,31.48,21.87,0.55,15.51,,6.36,2.39,16.12,6.69,1.89,1.3,6.24,0.46,6.19,,24.97,572.37,12.77,1.71,4.79,6.4,,143.89,2.07,10.58,7.37,15.13,13.26,6.92,2.08,8.0,,2.76,21.58,4.76,7.28,1.34,3.66,9.96,8.99,1.51,-0.38,12.91,8.53,2.8,20.12,19.86,-13.38,1.32,,26.02,13.81,9.65,0.48,7.2,9.34,2.6,5.1,3.04,4.02,1.66,1.85,7.91,2.2,3.13,-0.28,5.35,12.44,-0.0
Dec 2021,4.3,0.13,,6.29,20.01,,-2.62,8.88,14.95,-0.11,4.66,8.98,19.88,8.51,4.12,-0.41,10.59,4.75,12.9,49.41,4.2,7.89,35.21,27.64,5.63,0.82,2.17,1.41,2.17,15.41,4.53,15.81,1.8,8.01,2.73,4.03,4.92,30.17,4.67,11.95,2.85,17.78,33.99,7.82,8.53,42.62,16.68,6.42,2.1,16.95,7.25,1.4,2.23,5.14,5.5,13.96,3.33,4.88,12.68,,19.11,1.36,2.24,35.22,9.78,1.13,1.1,9.41,6.47,2.17,,0.47,3.37,,13.81,1.44,,,3.29,,2.03,1.31,13.96,11.23,17.15,1.21,2.55,1.31,6.88,2.52,14.63,34.93,23.59,3.11,15.99,,3.48,2.4,34.49,10.67,3.69,0.59,5.51,0.52,4.33,,25.91,357.33,13.88,1.58,4.48,3.94,,156.51,1.97,11.54,7.05,14.67,21.05,6.09,2.07,15.06,,2.82,27.42,4.14,7.08,1.41,4.09,10.71,7.02,1.48,-0.22,17.05,8.58,2.77,24.24,7.87,-4.57,1.33,,26.41,14.1,14.46,0.12,11.31,7.36,3.93,5.21,3.43,4.12,1.77,0.13,8.1,5.27,2.9,1.34,5.42,12.71,-0.02
Mar 2022,1.54,0.06,,5.98,5.34,,2.79,17.61,21.1,2.77,5.14,9.09,24.7,5.79,5.27,0.48,8.87,5.28,14.39,52.74,3.42,8.46,39.96,33.55,4.9,1.58,1.89,3.41,3.02,15.77,5.51,15.1,1.3,7.43,-4.94,0.77,10.44,34.1,4.25,13.98,1.66,19.59,33.7,10.61,6.59,5.83,22.31,4.11,46.58,39.74,3.65,9.37,2.12,6.57,4.12,46.43,3.55,5.63,13.24,,18.83,2.4,1.37,30.6,9.81,3.41,1.09,11.11,6.37,1.3,,0.57,-43.65,,13.52,2.57,,,3.4,,1.47,0.7,4.3,12.87,19.61,0.91,2.88,-2.02,7.35,1.77,25.77,36.34,24.83,2.65,18.0,4.75,4.23,1.94,62.1,7.88,2.49,1.67,5.54,0.18,6.44,,24.84,48.83,15.17,0.34,6.27,6.13,,170.81,2.64,13.15,5.0,13.47,21.56,7.98,1.69,39.54,,2.53,23.95,4.37,7.25,1.81,6.16,10.7,9.55,1.79,-1.35,20.43,-9.49,2.27,25.69,3.98,-3.11,1.57,,27.13,15.49,9.27,-2.09,5.74,-3.49,0.0,5.84,6.18,2.5,2.53,1.96,9.84,3.65,5.52,0.98,5.63,11.69,0.42
Jun 2022,3.35,0.1,5.28,3.76,3.75,,4.36,6.62,12.11,4.12,4.09,16.03,21.85,7.73,4.4,0.02,10.6,3.32,14.26,40.2,3.74,8.23,42.88,37.95,9.29,0.5,2.17,2.73,1.69,14.01,3.25,13.24,0.94,5.53,-1.99,0.85,1.6,24.58,4.88,10.52,2.49,17.2,26.44,7.7,9.93,71.44,22.33,5.48,2.39,52.12,10.14,1.64,2.05,6.33,4.38,9.27,3.84,3.88,12.1,,17.25,1.71,0.78,29.55,10.13,2.25,1.32,10.62,7.11,1.09,4552.98,0.78,-27.62,4.19,12.74,1.54,,,3.56,,1.71,1.05,2.18,11.52,13.88,2.05,3.12,41.81,6.92,1.57,12.11,63.06,26.09,2.43,17.66,7.3,4.54,2.87,34.3,11.14,3.8,1.1,6.55,0.21,5.27,,20.41,13.87,15.02,1.75,4.45,5.29,9.91,185.62,1.81,13.84,6.96,17.3,14.69,1.45,0.78,12.15,,1.55,26.54,5.21,11.01,1.43,6.65,8.21,8.44,1.3,0.36,20.51,8.59,2.67,29.66,17.78,-15.08,2.49,,25.9,11.64,10.08,0.1,8.84,10.46,3.67,6.43,6.13,3.66,2.43,6.06,9.85,4.16,3.29,1.51,4.68,16.99,0.94
Sep 2022,2.84,0.08,6.38,4.18,3.42,,0.38,9.32,-4.65,4.04,4.4,10.26,25.63,11.78,4.33,0.56,8.16,2.57,18.27,59.42,5.24,9.77,45.93,28.57,4.27,0.85,1.88,3.86,2.2,20.48,2.5,14.72,,7.69,-5.32,1.17,4.29,32.99,4.98,7.16,2.77,12.79,18.57,13.02,10.59,66.93,24.02,5.81,2.84,66.09,14.45,1.98,2.3,5.91,5.13,18.26,4.05,2.98,12.86,17.06,19.97,1.53,2.05,34.45,11.34,2.84,1.68,11.49,12.02,1.39,438.19,0.91,-41.08,7.8,14.31,1.85,,,3.73,,1.99,1.03,,11.85,18.17,1.95,3.05,0.91,8.6,1.86,15.86,40.18,28.41,0.32,22.3,10.48,4.74,2.33,69.93,10.61,2.72,2.43,5.86,0.36,8.03,80.9,22.22,7.99,11.67,1.55,3.96,6.86,16.14,145.36,2.17,14.39,6.54,22.07,17.91,-2.18,1.72,23.85,,0.9,20.19,4.34,11.84,1.83,5.57,16.53,18.32,1.58,0.32,16.23,9.43,3.43,27.98,21.17,-2.84,2.56,,28.51,13.21,11.08,4.03,9.36,9.22,2.62,8.13,5.07,7.61,2.97,2.93,11.29,2.84,-0.22,2.02,4.85,19.61,0.71
Dec 2022,2.25,0.11,7.06,3.96,3.77,5.26,4.68,14.41,6.03,7.19,5.18,8.94,27.35,12.99,3.45,1.09,11.18,3.46,20.12,52.05,5.31,11.19,49.11,19.31,6.47,0.84,1.72,2.85,1.39,38.71,3.81,15.05,,7.14,-7.5,1.49,4.2,37.37,4.83,14.12,2.69,15.33,11.53,8.72,9.1,74.7,27.09,8.85,2.34,34.65,4.15,2.11,2.26,3.06,5.58,17.27,3.92,4.53,15.09,17.3,22.77,1.47,1.48,36.33,10.53,1.8,1.51,12.6,7.18,1.54,-3.73,0.99,36.91,5.52,15.7,2.02,,0.88,4.03,,1.22,1.44,3.93,14.26,20.12,3.18,3.67,6.81,6.33,2.58,18.17,33.82,28.11,1.03,21.53,7.09,5.52,2.54,79.65,17.56,4.22,3.26,4.92,0.67,10.22,60.25,23.11,-9.02,21.5,2.49,5.89,6.51,38.32,110.93,2.5,15.56,5.98,23.19,23.89,3.2,1.0,14.24,,1.21,23.34,4.66,13.23,1.83,5.39,17.34,12.99,1.83,-1.92,17.24,9.03,3.65,31.26,6.82,8.91,2.96,36.58,29.64,13.32,12.19,2.72,10.18,8.63,4.7,6.33,-0.07,2.95,2.83,0.58,10.4,6.19,-3.34,2.33,5.56,9.18,1.19
Mar 2023,0.25,0.09,7.82,6.06,4.11,4.73,5.52,11.56,12.55,6.34,4.68,9.52,32.0,8.34,2.84,2.56,12.87,7.66,-17.43,60.25,4.52,11.11,52.16,14.63,5.11,1.89,1.59,5.39,0.28,23.19,6.73,15.23,,6.04,20.02,2.79,1.5,18.79,4.58,14.76,1.7,17.15,12.09,13.54,7.1,57.65,33.11,5.69,2.12,48.74,7.86,14.82,3.63,5.62,4.83,42.33,3.93,5.71,14.68,17.63,22.57,1.68,1.93,40.29,11.07,3.34,1.79,14.11,8.9,1.64,-2.54,1.23,23.84,10.23,14.77,2.73,3.48,1.11,4.16,,0.43,0.68,7.1,15.31,22.99,2.93,4.07,-2.77,6.8,1.67,28.37,37.65,32.2,0.92,21.2,7.13,5.22,2.34,88.97,16.17,2.44,3.58,6.94,0.97,10.1,67.43,24.25,-21.12,27.5,0.39,5.74,7.64,2.07,70.24,2.76,16.45,5.57,18.49,28.38,8.51,2.34,29.18,2.5,2.54,28.53,5.25,16.27,1.72,6.3,20.27,13.24,2.05,0.82,18.97,8.27,2.78,32.36,4.01,16.28,2.43,5.34,31.13,11.47,16.14,4.03,8.22,8.48,1.52,7.07,0.37,1.41,3.19,3.3,10.18,4.48,4.35,1.29,5.6,13.76,2.54
Jun 2023,0.36,0.18,7.96,5.17,1.93,5.2,6.18,13.95,24.82,5.91,4.97,9.74,26.34,11.61,4.27,1.85,16.16,4.46,19.78,58.11,3.23,12.2,56.72,16.27,8.32,0.74,3.04,2.89,0.63,19.0,32.68,15.58,,7.04,1.13,1.33,3.75,27.06,4.03,15.2,2.62,10.99,13.41,11.55,10.12,84.36,33.58,7.78,2.62,32.54,11.27,4.49,2.61,3.04,6.69,12.17,3.97,4.58,13.02,22.36,22.12,1.94,1.8,35.53,10.87,1.36,2.07,15.2,7.95,1.43,4.95,1.1,80.16,6.52,14.32,1.99,2.9,1.29,4.1,,0.44,1.4,4.24,13.46,20.88,3.07,4.89,48.91,9.9,1.6,17.74,38.92,29.44,1.44,28.21,12.15,6.0,3.3,84.18,15.59,3.91,2.21,5.65,0.89,6.61,1.33,25.46,12.28,12.41,2.95,3.91,7.24,0.98,141.98,1.54,14.86,9.21,25.24,26.67,1.77,1.2,159.95,3.38,2.26,23.67,5.3,14.8,1.64,6.27,20.77,12.79,1.91,-0.88,12.12,8.43,3.28,30.32,29.02,9.64,3.04,4.72,30.26,7.1,11.14,5.17,8.48,11.17,4.88,9.14,5.15,6.56,3.01,7.65,6.75,3.79,3.91,1.85,5.23,12.97,5.6
Sep 2023,-1.59,0.2,8.1,4.31,2.51,5.72,5.58,17.12,20.65,2.0,5.01,5.33,36.3,13.25,3.57,1.79,12.57,4.88,20.13,71.39,2.37,12.09,58.6,10.71,2.64,1.08,2.5,2.39,1.62,24.39,8.9,17.2,,10.42,-3.54,1.59,6.9,29.41,6.03,16.1,2.91,15.04,13.11,18.02,9.58,88.87,37.12,7.96,3.17,33.71,15.82,2.4,3.07,3.34,7.05,18.49,3.84,3.97,14.12,20.45,22.17,1.76,2.41,50.35,11.3,1.47,2.19,15.56,11.75,1.69,0.21,1.11,4.9,5.32,14.97,2.67,,1.25,3.93,1.05,1.47,1.31,5.56,15.54,22.45,3.2,5.14,2.45,13.09,1.66,23.45,39.26,29.84,0.4,18.88,12.51,6.11,2.73,125.33,16.5,2.92,2.86,4.73,0.3,6.65,4.35,26.39,15.88,12.22,3.0,3.18,9.42,2.7,134.73,2.42,17.11,8.85,31.67,28.37,6.39,2.12,23.99,2.01,1.78,25.71,5.97,14.18,1.89,6.37,18.04,16.04,2.12,-0.81,10.15,9.9,3.51,32.15,24.6,11.33,2.74,3.95,31.0,5.06,13.62,5.55,10.31,11.41,6.6,8.13,4.06,4.66,3.93,3.86,7.05,2.01,1.11,1.43,5.07,10.23,1.82
Dec 2023,-0.19,0.12,3.77,3.99,3.42,5.82,7.86,15.98,28.63,16.57,5.48,6.54,31.01,15.68,2.61,1.91,15.09,4.23,21.05,71.78,3.25,13.52,58.88,15.24,4.51,1.18,2.57,4.34,3.25,23.1,7.99,18.17,,10.28,5.63,4.89,9.29,38.54,5.43,13.28,2.9,14.81,13.49,16.12,10.61,82.78,36.38,10.42,2.36,30.73,6.43,2.24,1.98,2.82,7.7,18.86,3.92,4.59,16.03,22.86,22.73,1.71,2.9,54.7,10.68,0.44,1.95,15.76,8.76,1.58,3.45,1.04,77.68,7.82,14.71,2.6,3.75,1.25,4.28,0.46,1.0,1.75,7.07,16.7,21.46,4.2,5.67,2.11,9.74,2.26,21.44,39.49,31.79,0.99,21.38,11.33,5.69,2.96,102.0,31.08,3.52,2.47,4.28,0.8,3.4,2.42,27.49,11.68,15.74,3.51,0.4,6.8,4.64,136.59,1.71,18.59,10.04,29.57,27.49,3.4,1.94,27.55,4.4,1.55,25.52,6.23,16.89,1.72,5.78,12.4,14.19,2.26,-0.92,8.55,10.52,2.89,33.15,10.52,21.14,2.98,4.2,30.56,5.23,27.5,5.56,11.86,13.09,10.53,10.08,3.23,4.81,3.37,1.02,7.49,6.49,-0.92,1.11,5.16,11.88,3.64
Mar 2024,-2.59,0.05,4.77,5.15,3.64,7.2,5.5,21.67,50.31,3.95,6.24,7.52,40.47,12.55,3.04,2.91,13.1,6.76,24.62,72.05,2.54,13.28,61.79,21.0,4.95,2.46,1.91,3.66,0.44,22.35,7.91,21.06,,12.37,-5.35,1.53,9.84,36.19,5.2,17.06,1.97,18.61,20.27,15.91,8.66,78.52,39.1,8.59,2.17,37.36,6.91,16.95,3.21,2.43,9.74,64.43,4.73,7.13,14.69,25.33,23.2,1.91,4.36,46.77,10.89,1.45,2.0,16.62,10.54,1.21,2.41,1.04,49.09,11.27,19.2,2.62,3.55,1.26,4.1,0.49,3.14,1.34,12.71,18.67,26.85,3.57,6.0,-0.05,10.12,2.2,31.98,37.14,32.24,1.61,22.15,11.76,7.02,2.46,125.71,32.87,6.05,2.26,5.41,2.02,1.58,1.1,28.37,4.67,14.19,1.11,6.42,9.69,5.26,97.01,2.56,20.47,5.91,24.35,36.34,4.94,2.42,34.42,2.96,2.47,28.01,6.18,14.03,2.3,6.97,23.96,22.53,2.54,-1.03,14.24,11.06,2.19,31.62,11.95,52.37,2.8,3.88,34.37,6.77,9.8,5.86,8.68,13.27,19.81,8.15,3.07,3.31,5.04,4.13,10.05,4.77,3.52,0.05,5.42,15.74,4.16
Jun 2024,2.83,0.21,5.21,3.62,3.78,6.12,2.62,20.93,19.24,12.76,6.18,9.56,32.49,13.61,3.21,1.73,12.2,4.48,20.83,69.55,2.44,13.39,63.2,13.36,13.54,1.08,3.03,7.31,0.78,20.99,19.58,22.0,,12.84,-2.98,1.58,6.62,19.97,4.24,12.97,2.82,14.85,16.2,22.34,11.89,83.46,40.2,9.31,2.59,36.94,5.62,18.7,1.59,,7.61,21.49,3.35,6.51,15.69,28.27,21.65,2.23,6.3,52.31,11.11,0.5,2.38,16.62,11.77,1.56,0.27,0.91,70.7,5.5,15.34,2.38,3.85,1.43,4.08,0.49,0.85,1.72,7.94,16.65,37.47,5.48,7.45,56.28,12.75,1.91,20.26,38.28,29.63,1.24,26.4,13.39,6.62,3.58,119.58,34.51,3.4,1.81,4.97,1.47,1.44,1.51,28.99,18.0,10.32,2.96,4.35,7.74,2.74,148.13,3.81,19.89,11.15,29.58,26.34,2.23,1.52,1106.08,2.22,1.78,22.37,6.32,12.51,1.07,6.25,21.65,16.22,2.42,-0.78,8.51,11.82,2.93,29.56,25.91,16.74,3.04,3.99,33.28,8.71,11.64,4.98,8.05,13.5,11.04,9.7,6.56,6.67,3.47,9.64,8.12,2.57,10.1,0.21,5.74,-2.16,9.14
